funcion,nombre_funcion,metodo,nombre_metodo,dimension,n_corridas,mejor_valor,peor_valor,promedio_valor,mediana_valor,desviacion_valor,mejor_distancia_al_optimo,promedio_distancia_al_optimo,promedio_evaluaciones,mediana_evaluaciones,promedio_iteraciones,mediana_iteraciones
rastrigin,Rastrigin,ea,Algoritmo evolutivo,2,100,1.6069251902450787e-05,1.1462650260293223,0.3697050459911813,0.2166446039397112,0.3743414757791473,0.0002846005268944198,0.12176134110314793,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,ea,Algoritmo evolutivo,2,500,1.6069251902450787e-05,1.450189162531622,0.4761218850377909,0.41826838240123365,0.3994235180800471,0.0002846005268944198,0.12215743483987412,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,ea,Algoritmo evolutivo,2,1000,1.6069251902450787e-05,1.450189162531622,0.501282607010326,0.41826838240123365,0.4250260304063379,0.0002846005268944198,0.12429962151517188,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,pso,PSO,2,100,1.5987211554602254e-14,2.5840597217552386e-08,1.208087336834751e-09,1.2683187833317788e-12,4.713247761926989e-09,8.849275547243741e-09,7.870671117412488e-07,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,pso,PSO,2,500,0.0,2.5840597217552386e-08,2.5781517010159405e-10,1.7532642004880472e-12,2.161211896502035e-09,1.3888465558393479e-09,3.1535404813070994e-07,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,pso,PSO,2,1000,0.0,2.5840597217552386e-08,1.339856829929431e-10,1.7532642004880472e-12,1.533333841019332e-09,1.3888465558393479e-09,2.30881354270471e-07,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,de,Evolucion diferencial,2,100,0.0,1.7835866117366095e-10,1.5263523778230593e-11,1.1368683772161603e-13,4.818058257617337e-11,9.426993059161629e-10,1.1207824516863637e-07,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,de,Evolucion diferencial,2,500,0.0,2.615649918880081e-10,1.38876679045552e-11,1.3677947663381929e-13,4.976985385410607e-11,7.563123418438734e-10,1.1826980706272172e-07,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,de,Evolucion diferencial,2,1000,0.0,2.615649918880081e-10,7.57183116206761e-12,6.927791673660977e-14,3.5822285070361966e-11,7.563123418438734e-10,8.089109231457727e-08,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,ea,Algoritmo evolutivo,3,100,0.06686779336726367,3.2874835475290496,1.1620228567343522,1.040752247976469,0.7568719962351447,0.018363554267634526,0.5293163395630188,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,ea,Algoritmo evolutivo,3,500,0.06686779336726367,3.2874835475290496,0.8140443243002189,0.8524594145467024,0.5400621154113489,0.018363554267634526,0.33557311869626594,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,ea,Algoritmo evolutivo,3,1000,0.06686779336726367,3.2874835475290496,0.8184322872861354,0.8862635043059299,0.5341681954323845,0.018363554267634526,0.3628809656751864,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,pso,PSO,3,100,1.2967404927621828e-12,0.9949591660598092,0.11939810020151179,4.339671022535185e-08,0.32332232814088646,8.081370494183589e-08,0.11943986853305098,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,pso,PSO,3,500,1.2967404927621828e-12,0.9949605750766874,0.2250212177556154,5.0678748308996546e-08,0.41604482447253227,8.081370494183589e-08,0.2250889813522841,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,pso,PSO,3,1000,1.2967404927621828e-12,0.9949605750766874,0.2060738143390679,2.9733749684623945e-08,0.40305376943782356,8.081370494183589e-08,0.20613310536565943,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,de,Evolucion diferencial,3,100,2.2688342475873924e-06,0.46138492129927045,0.015972144485057314,0.00027239256363920106,0.05166319063654887,0.00010693976243459228,0.004741411206865659,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,de,Evolucion diferencial,3,500,2.2688342475873924e-06,0.46138492129927045,0.02253761104252637,0.0014070630809079887,0.06375760429216228,0.00010693976243459228,0.006037963564991044,4840.0,4840.0,120.0,120.0
rastrigin,Rastrigin,de,Evolucion diferencial,3,1000,2.2688342475873924e-06,0.46138492129927045,0.03820646704286594,0.0012978040484306064,0.0861576060864163,0.00010693976243459228,0.008152391145420214,4840.0,4840.0,120.0,120.0
