funcion,nombre_funcion,metodo,nombre_metodo,dimension,n_corridas,mejor_valor,peor_valor,promedio_valor,mediana_valor,desviacion_valor,mejor_distancia_al_optimo,promedio_distancia_al_optimo,promedio_evaluaciones,mediana_evaluaciones,promedio_iteraciones,mediana_iteraciones
rosenbrock,Rosenbrock,ea,Algoritmo evolutivo,2,100,0.001980920383499212,0.7112598311686328,0.06818983037486287,0.02374561352162622,0.12503475617676646,0.00613262729588896,0.37191651762943745,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,ea,Algoritmo evolutivo,2,500,0.00016827340664380587,0.7112598311686328,0.1065403039514478,0.04580075741828185,0.1458390822208247,0.00613262729588896,0.47879340863277037,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,ea,Algoritmo evolutivo,2,1000,0.00016827340664380587,0.7112598311686328,0.10501784442623037,0.04314747622830877,0.1436238069732813,0.00613262729588896,0.4648277923968352,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,pso,PSO,2,100,9.50456513516253e-11,1.3532614224092346e-05,5.171656735795813e-07,7.052443276146023e-08,1.5474528660449784e-06,8.7503004782885e-06,0.0008483863820373684,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,pso,PSO,2,500,8.279006122698238e-11,2.948117712706493e-05,1.0914953773021366e-06,4.767586842059158e-08,4.89559099650952e-06,1.896508748144253e-06,0.0009207479422895556,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,pso,PSO,2,1000,8.279006122698238e-11,2.948117712706493e-05,1.8031566752668404e-06,6.397120945299637e-08,6.644720628981406e-06,1.896508748144253e-06,0.001186116324995532,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,de,Evolucion diferencial,2,100,4.2466851001492666e-16,6.218325447707884e-12,7.908427131231841e-13,1.117478130001389e-13,1.7708015712832757e-12,1.4998286969158037e-08,6.003520533066983e-07,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,de,Evolucion diferencial,2,500,1.1510125237772603e-16,2.0867153071457725e-11,5.747582210394962e-13,8.751549485302105e-14,2.189373554541702e-12,1.4998286969158037e-08,5.610501994040376e-07,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,de,Evolucion diferencial,2,1000,1.1510125237772603e-16,2.0867153071457725e-11,3.6042074538152295e-13,8.751549485302105e-14,1.5704722865979747e-12,1.4998286969158037e-08,5.20391494443965e-07,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,ea,Algoritmo evolutivo,3,100,0.01359381456916485,1.6028920766493746,0.5320915334455726,0.3976792125419124,0.5064933580289549,0.005497949252329697,0.7838812937714947,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,ea,Algoritmo evolutivo,3,500,0.01359381456916485,1.893856618526956,0.5371694322368771,0.1790188774505581,0.6052500381696317,0.005497949252329697,0.8296887353518345,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,ea,Algoritmo evolutivo,3,1000,0.01359381456916485,1.893856618526956,0.5279456616798324,0.1790188774505581,0.6096238512848753,0.005497949252329697,0.8110674768156269,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,pso,PSO,3,100,0.004959115789593878,0.06659713716045208,0.03273618484853359,0.037000535757371486,0.015057694502395922,0.11024658868388597,0.3242214526714995,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,pso,PSO,3,500,0.00108309202224792,0.10864348518802935,0.036041215866294975,0.029029956779755256,0.02426817030680675,0.06788464127852264,0.33489406479169703,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,pso,PSO,3,1000,0.00108309202224792,0.10864348518802935,0.037133910446225014,0.028591575594864527,0.02756032621894197,0.06788464127852264,0.34043012207697054,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,de,Evolucion diferencial,3,100,2.7450865391933253e-06,0.0014388703298752626,0.0001465712199796422,9.518935034443556e-05,0.0002223040710722717,0.00018137122340079084,0.010364399493681458,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,de,Evolucion diferencial,3,500,2.7450865391933253e-06,0.002237464445387408,0.00026516825533159607,9.796537695741621e-05,0.0005656366600206455,0.00018137122340079084,0.013026061848322544,4840.0,4840.0,120.0,120.0
rosenbrock,Rosenbrock,de,Evolucion diferencial,3,1000,2.4050390824539846e-06,0.002237464445387408,0.00024176198908400624,6.741531293446625e-05,0.0005422781573232066,0.00018137122340079084,0.012118297511999714,4840.0,4840.0,120.0,120.0
