funcion,nombre_funcion,corrida,semilla,metodo,dimension,limites,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones,parametros
goldstein_price,Goldstein-Price,1,2756,gradient,2,"[-1.5, 1.5]","[0.46678147946520676, 1.3863374852114507]","[1.095636113004444, 0.7344185311243888]",853.3893816841,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,2,2757,gradient,2,"[-1.5, 1.5]","[0.5468888700906862, -0.42041417200512]","[0.595387150489611, -0.6043336975522993]",59.36459859695667,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,3,2758,gradient,2,"[-1.5, 1.5]","[0.00658755688643109, 0.8459045906587668]","[0.13156871890721925, 0.0719738171247586]",738.1690354743369,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,4,2759,gradient,2,"[-1.5, 1.5]","[1.1866055183988569, 0.7102889485615247]","[1.181069201794776, 0.7881671724983329]",840.4999839818048,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,5,2760,gradient,2,"[-1.5, 1.5]","[1.4875368692611244, 0.611063514735644]","[1.758785629247386, 0.1730320992008717]",84.23836541786599,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,6,2761,gradient,2,"[-1.5, 1.5]","[0.08026613962049023, 0.9874626667746238]","[0.4221825843339333, 0.27667233320137435]",954.9315822669829,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,7,2762,gradient,2,"[-1.5, 1.5]","[0.7536274390370279, 0.05263014765269847]","[0.9680133295377962, -0.3550054664867028]",93.11612700646353,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,8,2763,gradient,2,"[-1.5, 1.5]","[-1.4432606719259051, -0.9937257999883169]","[-0.6913266830029031, -0.3848748001453643]",37.92064207721309,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,9,2764,gradient,2,"[-1.5, 1.5]","[-0.2704132487873727, 1.389200791760202]","[0.29990864174290083, 0.1910905866471563]",887.3131169198989,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
goldstein_price,Goldstein-Price,10,2804,gradient,2,"[-1.5, 1.5]","[0.3338422553755369, 0.7508625584209705]","[0.5640433279753085, 0.37521188639375425]",988.6495094412548,5000,5002,"{""max_iterations"": 5000, ""rate"": 1e-07, ""tolerance"": 1e-06}"
