funcion,nombre_funcion,corrida,semilla,metodo,dimension,limites,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones,parametros
rastrigin,Rastrigin,1,2141,gradient,3,"[-5.12, 5.12]","[-1.4773613777785513, 1.140116327784754, -0.10605951568708782]","[-0.9949598205120276, 0.994958653274631, -1.0814771873350967e-08]",1.989918114464098,32,34,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,2,2142,gradient,3,"[-5.12, 5.12]","[-4.474197270769645, 3.6131978824550055, 0.9275095953359234]","[-3.9797849426974716, 3.9797834971498567, 0.9949586265266911]",32.833446642272904,31,33,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,3,2143,gradient,3,"[-5.12, 5.12]","[1.4664437868033504, -4.205838849394761, -1.66705739450411]","[0.9949598622460826, -3.979783911186147, -1.9899120905352907]",20.894034040410844,31,33,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,4,2144,gradient,3,"[-5.12, 5.12]","[0.6118463151021514, -2.7410940323531907, -3.07650479799918]","[0.9949574320422145, -2.984855363250247, -2.9848557728694973]",18.904161540379082,28,30,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,5,2145,gradient,3,"[-5.12, 5.12]","[-3.5803820858644233, 0.5183951160153626, -2.282430626115073]","[-3.9797837019797635, 0.9949574845489154, -1.9899122515895662]",20.89403404037757,34,36,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,6,2146,gradient,3,"[-5.12, 5.12]","[2.6148190293739138, 5.108870613604377, 4.748429953954154]","[2.9848543024567715, 4.974691512642628, 4.974691022333602]",58.702047110987294,28,30,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,7,2147,gradient,3,"[-5.12, 5.12]","[1.4496238305043576, 1.9443367891920298, 1.7550523297169516]","[0.9949598384021295, 1.9899122210413418, 1.9899121300940465]",8.954621438489527,30,32,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,8,2148,gradient,3,"[-5.12, 5.12]","[3.880610184809332, 2.585045547911644, 5.039872451431262]","[3.979783803447534, 2.984854234703958, 4.974691425614403]",49.74756796891629,29,31,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,9,2149,gradient,3,"[-5.12, 5.12]","[-0.9459384534249198, 4.9577467457243385, -0.0193428549707253]","[-0.9949573963249606, 4.974690888687155, -4.759354046022398e-07]",25.86868199203542,21,23,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
rastrigin,Rastrigin,10,2189,gradient,3,"[-5.12, 5.12]","[1.2594346718116904, 3.14241845396269, -5.019190312582469]","[0.9949600180928531, 2.984856304461103, -4.974691564424229]",34.823283233578216,25,27,"{""max_iterations"": 1000, ""rate"": 0.001, ""tolerance"": 1e-06}"
