corrida,dimension,posicion_inicial,posicion_final,valor_final,iteraciones,evaluaciones
1,3,"[-2.186039818986261, 3.099036798493999, 5.091716095012891]","[-1.9899130384259225, 2.9848561133911367, 4.974691855973427]",37.8081553667875,25,27
2,3,"[-4.812533705427017, 4.069026465699143, 1.255736664050258]","[-4.974690843792279, 3.9797840598568706, 0.9949594466280903]",41.78792578429329,26,28
3,3,"[4.847438020247769, -0.3583025405293814, 3.557252409050867]","[4.9746913587938995, -1.693053832356477e-07, 3.9797824048064734]",40.79296672742657,31,33
4,3,"[-4.481084737553641, -1.686742527198252, -4.43375065342761]","[-3.979785222951071, -1.9899121170649812, -3.9797842932065755]",35.818318775882155,31,33
5,3,"[4.867513686825682, 3.2458128104636073, 3.610085593558739]","[4.9746913214827915, 2.9848558745750164, 3.979782818366179]",49.74756796871131,29,31
6,3,"[4.484763969883077, -4.248540302133398, -1.1714806526634662]","[3.9797848098649085, -3.979783901904793, -0.9949586579425428]",32.833446642194225,32,34
7,3,"[-4.392602736189418, -2.961478640127707, -2.7712944431342352]","[-3.9797849422518317, -2.984855682648609, -2.984855442218038]",33.82844627567924,28,30
8,3,"[-0.3163421588727946, -2.3699234052747, -4.085984186186127]","[-4.994468066913609e-07, -1.9899130659186164, -3.9797839486000495]",19.899074983203768,28,30
9,3,"[-3.4048912476763373, -3.611898229226589, 4.844306410621935]","[-2.984856468770212, -3.979782850570301, 4.97469130120134]",49.747567968809406,29,31
10,3,"[2.65515527084517, 4.789877404360314, -0.6170574181590167]","[2.984854895577552, 4.974691140364205, -0.9949575192552942]",34.823283233510985,28,30
11,3,"[-2.2695067477743964, 3.054522339422072, -1.779159879258657]","[-1.9899131450158472, 2.9848558482762724, -1.9899115991602057]",16.91426362284362,26,28
12,3,"[-2.0543142532572336, -2.7391386397918085, -3.79208726298383]","[-1.9899123652338877, -2.9848547618381267, -3.9797832394319337]",28.853676224756132,26,28
13,3,"[-2.4938182551883163, -1.4815257756273899, 1.7817006914122793]","[-1.9899131412083422, -0.994959177466553, 1.9899122227060912]",8.954621438422333,34,36
14,3,"[-4.479336015672816, -2.9644089378268883, 3.164402076586767]","[-3.9797851412153977, -2.9848556974856417, 2.9848557361411525]",33.82844627575871,31,33
