caso,nombre_metodo,corrida,mejor_valor,distancia_al_optimo,evaluaciones
Six-Hump Camel 2D,Evolucion diferencial,,-1.0316284534898774,,
Six-Hump Camel 2D,Evolucion diferencial,,-1.0316284534898774,,
Six-Hump Camel 2D,Evolucion diferencial,,-1.0316284534898774,,
Six-Hump Camel 2D,Evolucion diferencial,1.0,-1.0316284534898774,1.436593814272692,4840.0
Six-Hump Camel 2D,Evolucion diferencial,7.0,-1.0316284534898774,1.4365938144743298,4840.0
Six-Hump Camel 2D,Evolucion diferencial,19.0,-1.0316284534898774,1.4365938160222385,4840.0
Six-Hump Camel 2D,Evolucion diferencial,28.0,-1.0316284534898774,1.4365938160222385,4840.0
Six-Hump Camel 2D,Evolucion diferencial,29.0,-1.0316284534898774,1.436593816357761,4840.0
Six-Hump Camel 2D,Evolucion diferencial,37.0,-1.0316284534898774,1.4365938160222385,4840.0
Six-Hump Camel 2D,Evolucion diferencial,38.0,-1.0316284534898774,1.436593816357761,4840.0
Six-Hump Camel 2D,Evolucion diferencial,46.0,-1.0316284534898774,1.4365938160222385,4840.0
Six-Hump Camel 2D,Evolucion diferencial,47.0,-1.0316284534898774,1.436593816357761,4840.0
Six-Hump Camel 2D,Evolucion diferencial,55.0,-1.0316284534898774,1.4365938160222385,4840.0
Six-Hump Camel 2D,Evolucion diferencial,56.0,-1.0316284534898774,1.436593816357761,4840.0
Six-Hump Camel 2D,Evolucion diferencial,59.0,-1.0316284534898774,1.4365938140736985,4840.0
