nombre_funcion,dimension,nombre_metodo,n_corridas,mejor_valor,promedio_valor,desviacion_valor,promedio_distancia_al_optimo,promedio_evaluaciones
Goldstein-Price,2,Algoritmo evolutivo,100,3.01175209091661,3.338018744435353,0.3697648658023168,0.029871528226591,4840.0
Goldstein-Price,2,Algoritmo evolutivo,500,3.0074200597473912,3.2080798211079364,0.2806073796093807,0.0219106122466663,4840.0
Goldstein-Price,2,Algoritmo evolutivo,1000,3.0074200597473912,3.1998331626807803,0.2531059452861569,0.0215291190585045,4840.0
Goldstein-Price,2,Evolucion diferencial,100,2.9999999999999254,2.9999999999999374,9.40945289044375e-15,6.059547146326586e-09,4840.0
Goldstein-Price,2,Evolucion diferencial,500,2.999999999999922,2.9999999999999347,9.812180988975591e-15,4.393658549741484e-09,4840.0
Goldstein-Price,2,Evolucion diferencial,1000,2.999999999999922,2.999999999999935,9.845328581013767e-15,4.103010968068168e-09,4840.0
Goldstein-Price,2,PSO,100,2.999999999999959,3.000000000000488,1.6753368455847486e-12,2.783651184670773e-08,4840.0
Goldstein-Price,2,PSO,500,2.9999999999999574,3.0000000000019225,6.174016129426796e-12,3.6826433269308915e-08,4840.0
Goldstein-Price,2,PSO,1000,2.999999999999951,3.0000000000016143,5.710876518803074e-12,3.211832476275242e-08,4840.0
Griewank,2,Algoritmo evolutivo,100,0.0234077656466659,0.1745257566558289,0.1319971922043138,16.089196929418065,7050.0
Griewank,2,Algoritmo evolutivo,500,0.0234077656466659,0.1857834549642633,0.104682095917431,16.53485751778962,7050.0
Griewank,2,Algoritmo evolutivo,1000,0.0234077656466659,0.1826171911594568,0.1105461963018609,16.300195191400054,7050.0
Griewank,2,Evolucion diferencial,100,1.158517910493373e-07,0.0021504601638485,0.0029694862039568,0.7927932833442197,7050.0
Griewank,2,Evolucion diferencial,500,1.158517910493373e-07,0.0036093948934664,0.003332596447641,1.898333401265664,7050.0
Griewank,2,Evolucion diferencial,1000,1.158517910493373e-07,0.0036722093237898,0.0034339625811378,1.9177631129153847,7050.0
Griewank,2,PSO,100,5.406786129924512e-14,0.0044638229833682,0.0035998395722361,3.16534509690106,7050.0
Griewank,2,PSO,500,5.406786129924512e-14,0.0030190318431039,0.0035977447881449,2.1682481729881657,7050.0
Griewank,2,PSO,1000,5.406786129924512e-14,0.0025829051566593,0.0034553956456519,1.8315819664029112,7050.0
Griewank,3,Algoritmo evolutivo,100,0.0435493984361536,0.3178311149641931,0.2437049475417684,18.98810076810498,7050.0
Griewank,3,Algoritmo evolutivo,500,0.0435493984361536,0.2942956082362659,0.1957004126259149,21.24603550831416,7050.0
Griewank,3,Algoritmo evolutivo,1000,0.0435493984361536,0.2801144304703706,0.1768866405770861,21.374862786518023,7050.0
Griewank,3,Evolucion diferencial,100,0.013143564296098,0.045170563059329,0.0211084032277028,7.68923187505697,7050.0
Griewank,3,Evolucion diferencial,500,0.0084054714579401,0.0468634476800336,0.0203683873469909,9.12143604867138,7050.0
Griewank,3,Evolucion diferencial,1000,0.0084054714579401,0.0463119132656718,0.0209472369777756,9.169831412604916,7050.0
Griewank,3,PSO,100,3.0029423392363697e-11,0.0090029127458499,0.0083143122537289,4.826982050386228,7050.0
Griewank,3,PSO,500,3.0029423392363697e-11,0.0152704942576317,0.0125402650655882,6.6142669346527,7050.0
Griewank,3,PSO,1000,3.0029423392363697e-11,0.0154231321145913,0.0129654740431791,6.580786380172348,7050.0
Rastrigin,2,Algoritmo evolutivo,100,1.6069251902450787e-05,0.3697050459911813,0.3743414757791473,0.1217613411031479,4840.0
Rastrigin,2,Algoritmo evolutivo,500,1.6069251902450787e-05,0.4761218850377909,0.3994235180800471,0.1221574348398741,4840.0
Rastrigin,2,Algoritmo evolutivo,1000,1.6069251902450787e-05,0.501282607010326,0.4250260304063379,0.1242996215151718,4840.0
Rastrigin,2,Evolucion diferencial,100,0.0,1.5263523778230593e-11,4.818058257617337e-11,1.1207824516863637e-07,4840.0
Rastrigin,2,Evolucion diferencial,500,0.0,1.3887667904555199e-11,4.976985385410607e-11,1.1826980706272173e-07,4840.0
Rastrigin,2,Evolucion diferencial,1000,0.0,7.57183116206761e-12,3.5822285070361966e-11,8.089109231457727e-08,4840.0
Rastrigin,2,PSO,100,1.5987211554602254e-14,1.208087336834751e-09,4.713247761926989e-09,7.870671117412488e-07,4840.0
Rastrigin,2,PSO,500,0.0,2.5781517010159405e-10,2.161211896502035e-09,3.1535404813071e-07,4840.0
Rastrigin,2,PSO,1000,0.0,1.3398568299294308e-10,1.533333841019332e-09,2.30881354270471e-07,4840.0
Rastrigin,3,Algoritmo evolutivo,100,0.0668677933672636,1.1620228567343522,0.7568719962351447,0.5293163395630188,4840.0
Rastrigin,3,Algoritmo evolutivo,500,0.0668677933672636,0.8140443243002189,0.5400621154113489,0.3355731186962659,4840.0
Rastrigin,3,Algoritmo evolutivo,1000,0.0668677933672636,0.8184322872861354,0.5341681954323845,0.3628809656751864,4840.0
Rastrigin,3,Evolucion diferencial,100,2.2688342475873924e-06,0.0159721444850573,0.0516631906365488,0.0047414112068656,4840.0
Rastrigin,3,Evolucion diferencial,500,2.2688342475873924e-06,0.0225376110425263,0.0637576042921622,0.006037963564991,4840.0
Rastrigin,3,Evolucion diferencial,1000,2.2688342475873924e-06,0.0382064670428659,0.0861576060864163,0.0081523911454202,4840.0
Rastrigin,3,PSO,100,1.2967404927621828e-12,0.1193981002015117,0.3233223281408864,0.1194398685330509,4840.0
Rastrigin,3,PSO,500,1.2967404927621828e-12,0.2250212177556154,0.4160448244725322,0.2250889813522841,4840.0
Rastrigin,3,PSO,1000,1.2967404927621828e-12,0.2060738143390679,0.4030537694378235,0.2061331053656594,4840.0
Rosenbrock,2,Algoritmo evolutivo,100,0.0019809203834992,0.0681898303748628,0.1250347561767664,0.3719165176294374,4840.0
Rosenbrock,2,Evolucion diferencial,100,4.246685100149266e-16,7.908427131231841e-13,1.7708015712832757e-12,6.003520533066983e-07,4840.0
Schwefel,2,Algoritmo evolutivo,100,0.0062474233462808,0.4834690814738963,0.6436337161191871,1.6684034514979522,7050.0
Schwefel,2,Algoritmo evolutivo,500,0.0052837409009498,0.6378659897447121,0.764176931024791,1.9497137457058205,7050.0
Schwefel,2,Algoritmo evolutivo,1000,0.0052837409009498,0.8411850369314141,0.9864176211005976,2.243135008204113,7050.0
Schwefel,2,Evolucion diferencial,100,2.545513234508689e-05,2.545513234508689e-05,0.0,6.148978229492477e-07,7050.0
Schwefel,2,Evolucion diferencial,500,2.545513234508689e-05,2.545513234508689e-05,0.0,6.409335589384196e-07,7050.0
Schwefel,2,Evolucion diferencial,1000,2.545513234508689e-05,2.545513234508689e-05,0.0,6.465422315713705e-07,7050.0
Schwefel,2,PSO,100,2.545513234508689e-05,8.296264659210792,30.217675691111744,50.68653238055344,7050.0
Schwefel,2,PSO,500,2.545513234508689e-05,15.871873449703244,40.34585772798892,96.95655140659352,7050.0
Schwefel,2,PSO,1000,2.545513234508689e-05,13.265674510067576,37.35128126607052,81.03549172835827,7050.0
Schwefel,3,Algoritmo evolutivo,100,0.0636154864055242,3.713478774342329,3.408583994208941,4.877047154523837,7050.0
Schwefel,3,Algoritmo evolutivo,500,0.01254836993985,4.483891226420597,5.421881985675886,5.055153060584343,7050.0
Schwefel,3,Algoritmo evolutivo,1000,0.01254836993985,4.713732105533154,5.624607061758064,5.185111120806856,7050.0
Schwefel,3,Evolucion diferencial,100,3.818322420556797e-05,3.821200230049726e-05,5.989763518259052e-08,0.0003798551245426,7050.0
Schwefel,3,Evolucion diferencial,500,3.8182909520401154e-05,3.8195229752545855e-05,3.042315925228427e-08,0.0002395905454403,7050.0
Schwefel,3,Evolucion diferencial,1000,3.8182909520401154e-05,3.819314768929871e-05,2.29658811078988e-08,0.0002265668332078,7050.0
Schwefel,3,PSO,100,3.818269874500402e-05,41.49898677716167,82.86803133912171,206.29166194758164,7050.0
Schwefel,3,PSO,500,3.818269874500402e-05,76.52030864326574,62.78871717399044,457.9907396124089,7050.0
Schwefel,3,PSO,1000,3.818269874500402e-05,78.4107688493738,59.211606728630414,474.2597432296005,7050.0
Six-Hump Camel,2,Algoritmo evolutivo,100,-1.0315556586787331,-1.0273066230551653,0.0052121722986763,0.9975579979344366,4840.0
Six-Hump Camel,2,Algoritmo evolutivo,500,-1.0315556586787331,-1.02922211348842,0.0029232340353724,1.0057352076970272,4840.0
Six-Hump Camel,2,Algoritmo evolutivo,1000,-1.0315852013658555,-1.0294171286830551,0.0023470164194785,0.9606496358343352,4840.0
Six-Hump Camel,2,Evolucion diferencial,100,-1.0316284534898774,-1.0316284534456197,1.2016750402085368e-10,1.0343484432992829,4840.0
Six-Hump Camel,2,Evolucion diferencial,500,-1.0316284534898774,-1.0316284534376168,2.0368804364571612e-10,0.9395322908344214,4840.0
Six-Hump Camel,2,Evolucion diferencial,1000,-1.0316284534898774,-1.0316284534565283,1.6345990429522934e-10,0.7987462120568598,4840.0
Six-Hump Camel,2,PSO,100,-1.0316284534898772,-1.0316284534898434,1.3435160159182646e-13,0.6608333968725482,4840.0
Six-Hump Camel,2,PSO,500,-1.0316284534898772,-1.0316284534898643,6.14332787157516e-14,1.0659527191916611,4840.0
Six-Hump Camel,2,PSO,1000,-1.0316284534898772,-1.0316284534898672,4.436990170828055e-14,1.1104871110406598,4840.0
