funcion,nombre_funcion,corrida,semilla,metodo,nombre_metodo,dimension,limites,optimo_conocido,mejor_solucion,mejor_valor,distancia_al_optimo,iteraciones,evaluaciones,best_values_history,parametros
goldstein_price,Goldstein-Price,1,2248,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[4.086298608035504e-10, -1.0000000038204435]",3.0000000000000084,3.842234640217728e-09,120,4840,"[47.16389516239409, 47.16389516239409, 14.878062678820507, 14.878062678820507, 8.920529886400669, 8.920529886400669, 8.920529886400669, 6.666511049249228, 6.666511049249228, 5.406435446846496, 3.283960352774342, 3.011319109500839, 3.011319109500839, 3.011319109500839, 3.011319109500839, 3.011319109500839, 3.0048297713452783, 3.0048297713452783, 3.0048297713452783, 3.0048297713452783, 3.0048297713452783, 3.0048297713452783, 3.00170522370839, 3.0012179766408043, 3.0012179766408043, 3.0012179766408043, 3.0012179766408043, 3.0012179766408043, 3.000185306492901, 3.000128679077558, 3.000128679077558, 3.000128679077558, 3.000128679077558, 3.000128679077558, 3.0000931566011984, 3.0000931566011984, 3.000006064124931, 3.000006064124931, 3.000006064124931, 3.000006064124931, 3.000006064124931, 3.000006064124931, 3.000006064124931, 3.000006064124931, 3.000000479855768, 3.000000479855768, 3.000000479855768, 3.000000479855768, 3.0000003597834097, 3.0000003597834097, 3.0000003597834097, 3.0000003597834097, 3.0000003597834097, 3.0000003597834097, 3.0000003597834097, 3.0000003597834097, 3.0000003597834097, 3.0000003597834097, 3.000000325904247, 3.000000325904247, 3.000000090233076, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.000000001522593, 3.0000000001822658, 3.0000000001822658, 3.0000000001822658, 3.0000000001313665, 3.0000000001313665, 3.000000000015154, 3.000000000015154, 3.000000000015154, 3.000000000015154, 3.000000000015154, 3.000000000015154, 3.000000000015154, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.000000000001238, 3.00000000000087, 3.0000000000006373, 3.0000000000000084, 3.0000000000000084, 3.0000000000000084, 3.0000000000000084, 3.0000000000000084, 3.0000000000000084, 3.0000000000000084, 3.0000000000000084, 3.0000000000000084, 3.0000000000000084]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,2,2249,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[1.1196802168505374e-08, -1.0000000068730597]",3.0000000000000018,1.3138010813039419e-08,120,4840,"[4.4696444165144795, 4.4696444165144795, 4.4696444165144795, 4.4696444165144795, 4.4696444165144795, 4.4696444165144795, 4.4696444165144795, 4.4696444165144795, 3.1498501052956254, 3.1498501052956254, 3.1498501052956254, 3.1446161913905195, 3.1446161913905195, 3.1085506104401732, 3.1085506104401732, 3.030968745481426, 3.030968745481426, 3.030968745481426, 3.030968745481426, 3.030968745481426, 3.030968745481426, 3.0039113902682977, 3.0006938556872007, 3.0006938556872007, 3.0006938556872007, 3.0006938556872007, 3.000506978932464, 3.000506978932464, 3.000506978932464, 3.000506978932464, 3.000404865259506, 3.000404865259506, 3.000249096012498, 3.000249096012498, 3.0001306859309675, 3.0001306859309675, 3.0001306859309675, 3.0001306859309675, 3.0000094678966476, 3.0000094678966476, 3.0000094678966476, 3.0000094678966476, 3.000009264733116, 3.0000019226562316, 3.0000019226562316, 3.0000019226562316, 3.0000019226562316, 3.0000019226562316, 3.0000019226562316, 3.0000012779799783, 3.0000012779799783, 3.0000002609250647, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.0000001301856756, 3.000000064287014, 3.0000000362036396, 3.0000000362036396, 3.0000000056126863, 3.000000002579803, 3.000000002579803, 3.000000002579803, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001400906, 3.0000000001366742, 3.000000000136669, 3.0000000000328613, 3.0000000000328613, 3.0000000000328613, 3.0000000000216063, 3.0000000000216063, 3.0000000000065605, 3.0000000000065605, 3.0000000000065605, 3.0000000000027556, 3.0000000000027556, 3.000000000001024, 3.000000000001024, 3.000000000001024, 3.000000000001024, 3.000000000001024, 3.000000000001024, 3.000000000001024, 3.000000000000222, 3.000000000000222, 3.000000000000222, 3.000000000000222, 3.000000000000222, 3.000000000000222, 3.000000000000222, 3.000000000000222, 3.000000000000222, 3.000000000000222, 3.000000000000213, 3.000000000000136, 3.0000000000001066, 3.0000000000000018, 3.0000000000000018, 3.0000000000000018]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,3,2250,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[-7.864835619210183e-11, -1.0000000046258062]",3.0000000000000098,4.62647472730672e-09,120,4840,"[10.53489991182315, 10.53489991182315, 10.464945291605062, 5.715792206376281, 5.715792206376281, 3.445801462545211, 3.445801462545211, 3.445801462545211, 3.445801462545211, 3.445801462545211, 3.445801462545211, 3.257454394050128, 3.257454394050128, 3.1552617935892138, 3.1552617935892138, 3.1552617935892138, 3.1552617935892138, 3.1552617935892138, 3.0843871919145887, 3.0843871919145887, 3.068160461966303, 3.068160461966303, 3.068160461966303, 3.068160461966303, 3.022916327912901, 3.004910962569965, 3.004910962569965, 3.004910962569965, 3.004910962569965, 3.004910962569965, 3.004910962569965, 3.0005149563981424, 3.0005149563981424, 3.0005149563981424, 3.0005149563981424, 3.000442455333396, 3.000442455333396, 3.000442455333396, 3.000442455333396, 3.000055828677612, 3.000055828677612, 3.000055828677612, 3.000055828677612, 3.000055828677612, 3.000055828677612, 3.0000045512728146, 3.0000045512728146, 3.0000045512728146, 3.0000015339443022, 3.0000015339443022, 3.0000015339443022, 3.0000015339443022, 3.0000015339443022, 3.0000015339443022, 3.0000015339443022, 3.0000015339443022, 3.0000015339443022, 3.0000005238328913, 3.0000004411225603, 3.0000004411225603, 3.00000024530205, 3.00000024530205, 3.0000001977508854, 3.0000001977508854, 3.0000001977508854, 3.0000001977508854, 3.0000001977508854, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000015685293, 3.0000000004582845, 3.00000000014361, 3.00000000014361, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000043574, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000009015, 3.0000000000005267, 3.0000000000002442, 3.0000000000002442, 3.000000000000152, 3.0000000000000817, 3.0000000000000817, 3.0000000000000817, 3.0000000000000817, 3.0000000000000817, 3.000000000000053, 3.000000000000053, 3.0000000000000098]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,4,2251,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[-8.025205068252687e-09, -1.0000000040003447]",3.0000000000000546,8.966976875373982e-09,120,4840,"[12.955501232524824, 12.955501232524824, 12.955501232524824, 12.955501232524824, 9.106650667992295, 4.9457195081102645, 3.378758390537057, 3.378758390537057, 3.378758390537057, 3.378758390537057, 3.378758390537057, 3.0333884595253666, 3.0333884595253666, 3.0333884595253666, 3.0333884595253666, 3.0333884595253666, 3.0333884595253666, 3.0321259016860282, 3.0321259016860282, 3.0321259016860282, 3.0321259016860282, 3.0321259016860282, 3.0050607805735914, 3.0050607805735914, 3.0006452401261487, 3.0006452401261487, 3.0006452401261487, 3.0006452401261487, 3.0006452401261487, 3.0006452401261487, 3.0006452401261487, 3.000607480123862, 3.000607480123862, 3.0003103778273887, 3.0003103778273887, 3.0003103778273887, 3.000143360243608, 3.000053202989147, 3.000053202989147, 3.0000208054376185, 3.0000208054376185, 3.0000208054376185, 3.0000208054376185, 3.0000208054376185, 3.0000208054376185, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.000002849249245, 3.0000019656340147, 3.0000019656340147, 3.0000019656340147, 3.0000019656340147, 3.0000007301267395, 3.0000007301267395, 3.00000036643391, 3.0000002606379126, 3.0000002606379126, 3.00000000852582, 3.00000000852582, 3.00000000852582, 3.00000000852582, 3.00000000852582, 3.00000000852582, 3.00000000852582, 3.0000000045683484, 3.0000000045683484, 3.0000000045683484, 3.0000000045683484, 3.00000000099277, 3.00000000099277, 3.00000000099277, 3.00000000099277, 3.00000000099277, 3.00000000099277, 3.0000000006267866, 3.0000000006267866, 3.0000000004931335, 3.0000000004931335, 3.0000000001017355, 3.0000000001017355, 3.0000000001017355, 3.0000000001017355, 3.0000000001017355, 3.0000000001017355, 3.0000000001017355, 3.0000000000967777, 3.0000000000967777, 3.0000000000967777, 3.0000000000967777, 3.0000000000054308, 3.0000000000054308, 3.0000000000054308, 3.0000000000054308, 3.0000000000054308, 3.000000000002846, 3.000000000002846, 3.000000000002846, 3.000000000002846, 3.000000000001164, 3.000000000001164, 3.000000000001164, 3.0000000000004996, 3.0000000000004996, 3.0000000000004508, 3.0000000000001306, 3.0000000000001306, 3.0000000000000546, 3.0000000000000546, 3.0000000000000546, 3.0000000000000546, 3.0000000000000546]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,5,2252,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[2.8903426579470685e-08, -0.9999999529131633]",3.00000000000089,5.525014256929052e-08,120,4840,"[118.95571847030077, 31.2878046398804, 31.2878046398804, 31.2878046398804, 17.355249984322548, 3.778412035457056, 3.778412035457056, 3.778412035457056, 3.4933912543287224, 3.4933912543287224, 3.4933912543287224, 3.199893345018786, 3.199893345018786, 3.199893345018786, 3.064898511831643, 3.064898511831643, 3.064898511831643, 3.0521021764233827, 3.0521021764233827, 3.0521021764233827, 3.0521021764233827, 3.0016583537799773, 3.0016583537799773, 3.0016583537799773, 3.001015588621179, 3.001015588621179, 3.001015588621179, 3.001015588621179, 3.001015588621179, 3.001015588621179, 3.001015588621179, 3.001015588621179, 3.000729286085114, 3.000729286085114, 3.0006349525049227, 3.0004163088182088, 3.0004163088182088, 3.0001151033152604, 3.0001151033152604, 3.0001151033152604, 3.0001151033152604, 3.0000854503628345, 3.0000854503628345, 3.0000854503628345, 3.0000315454438793, 3.0000315454438793, 3.0000036313076084, 3.0000036313076084, 3.0000036313076084, 3.0000036313076084, 3.0000036313076084, 3.0000036313076084, 3.0000036313076084, 3.0000036313076084, 3.0000036313076084, 3.0000026386255345, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.0000000658937074, 3.000000004022695, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.0000000037023558, 3.000000001591901, 3.000000001591901, 3.0000000006596674, 3.0000000006596674, 3.0000000006596674, 3.000000000468764, 3.000000000468764, 3.000000000468764, 3.00000000018911, 3.0000000001847913, 3.0000000001847913, 3.0000000001847913, 3.0000000001847913, 3.0000000001838414, 3.0000000001838414, 3.000000000135892, 3.000000000135892, 3.0000000000293117, 3.0000000000293117, 3.0000000000293117, 3.0000000000293117, 3.0000000000293117, 3.0000000000291305, 3.0000000000283453, 3.0000000000283453, 3.000000000023335, 3.000000000016942, 3.0000000000056333, 3.0000000000050373, 3.00000000000089, 3.00000000000089]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,6,2253,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[-1.1492723789063369e-08, -1.0000000097380284]",2.999999999999974,1.5063595085263718e-08,120,4840,"[32.39731771876708, 32.39731771876708, 32.39731771876708, 32.39731771876708, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.039344696569255, 3.029654327667183, 3.029654327667183, 3.004795556382873, 3.0022181241816575, 3.0022181241816575, 3.0022181241816575, 3.0000890525952757, 3.0000890525952757, 3.0000890525952757, 3.0000890525952757, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.000001178332137, 3.0000001297423453, 3.0000001297423453, 3.0000001297423453, 3.0000001297423453, 3.0000000178864723, 3.0000000178864723, 3.0000000178864723, 3.0000000178864723, 3.0000000178864723, 3.0000000178864723, 3.0000000178864723, 3.0000000178864723, 3.0000000178864723, 3.0000000178864723, 3.000000008629196, 3.000000008629196, 3.000000008629196, 3.0000000039398933, 3.0000000039398933, 3.0000000039398933, 3.0000000039398933, 3.0000000039398933, 3.0000000039398933, 3.000000003185711, 3.000000003185711, 3.000000002174424, 3.000000002174424, 3.000000000174516, 3.000000000174516, 3.000000000174516, 3.000000000174516, 3.000000000174516, 3.000000000066557, 3.000000000066557, 3.000000000066557, 3.0000000000114277, 3.0000000000114277, 3.0000000000114277, 3.0000000000114277, 3.0000000000114277, 3.000000000006071, 3.000000000006071, 3.000000000006071, 3.000000000006071, 3.000000000001697, 3.000000000001697, 3.000000000001697, 3.000000000001697, 3.000000000001697, 3.000000000001697, 3.000000000000686, 3.000000000000686, 3.000000000000686, 3.000000000000039, 3.000000000000039, 3.000000000000039, 3.000000000000039, 3.000000000000039, 3.000000000000039, 2.999999999999974, 2.999999999999974, 2.999999999999974, 2.999999999999974]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,7,2254,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[-9.47190644005651e-10, -1.000000011510018]",3.0000000000000346,1.1548925734555006e-08,120,4840,"[57.484001921810396, 30.404208964071792, 14.612822529079157, 14.612822529079157, 14.612822529079157, 5.776033985183453, 5.022449067676902, 4.417682813841275, 4.417682813841275, 3.245654548436068, 3.245654548436068, 3.0410917059422116, 3.0410917059422116, 3.0410917059422116, 3.0410917059422116, 3.0410917059422116, 3.0410917059422116, 3.0410917059422116, 3.0410917059422116, 3.0410917059422116, 3.030953055982101, 3.0012892077891022, 3.0012892077891022, 3.0012892077891022, 3.0012892077891022, 3.0012892077891022, 3.0012892077891022, 3.0012892077891022, 3.0003430302993883, 3.0003430302993883, 3.0003430302993883, 3.0003430302993883, 3.0003430302993883, 3.0003430302993883, 3.0001676319817827, 3.0001676319817827, 3.0000486589721493, 3.0000395020839794, 3.0000395020839794, 3.0000395020839794, 3.0000395020839794, 3.0000395020839794, 3.0000111310669246, 3.0000111310669246, 3.0000111310669246, 3.0000111310669246, 3.0000002451890793, 3.0000002451890793, 3.0000002451890793, 3.0000002451890793, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.0000001684825532, 3.000000086149856, 3.0000000207087067, 3.0000000207087067, 3.000000008007116, 3.00000000068448, 3.00000000068448, 3.00000000068448, 3.00000000068448, 3.00000000068448, 3.00000000068448, 3.00000000068448, 3.00000000068448, 3.00000000068448, 3.00000000068448, 3.000000000231499, 3.000000000231499, 3.000000000231499, 3.000000000231499, 3.000000000231499, 3.000000000231499, 3.000000000231499, 3.000000000077442, 3.000000000077442, 3.000000000077442, 3.000000000077442, 3.000000000077442, 3.000000000077442, 3.0000000000480864, 3.0000000000480864, 3.0000000000480864, 3.0000000000480864, 3.0000000000480864, 3.000000000021339, 3.0000000000163536, 3.000000000006795, 3.000000000006795, 3.000000000006795, 3.000000000004403, 3.000000000004403, 3.000000000004403, 3.000000000004184, 3.000000000004184, 3.0000000000024944, 3.0000000000024944, 3.0000000000024944, 3.0000000000024944, 3.0000000000024944, 3.0000000000018217, 3.0000000000015388, 3.0000000000000346, 3.0000000000000346, 3.0000000000000346]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,8,2255,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[-1.6566134399234495e-08, -1.0000000204799655]",3.0000000000001306,2.6341332461855085e-08,120,4840,"[18.138733390339304, 18.138733390339304, 18.138733390339304, 16.80213450452092, 3.7723876090906434, 3.7723876090906434, 3.7723876090906434, 3.517799324659543, 3.517799324659543, 3.517799324659543, 3.517799324659543, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.020759842522229, 3.016149836127557, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0005850272718315, 3.0003883267259757, 3.000262544839001, 3.000262544839001, 3.000171915273565, 3.000031113469545, 3.000031113469545, 3.000031113469545, 3.000031113469545, 3.0000167740458474, 3.0000167740458474, 3.0000167740458474, 3.000008009243401, 3.000008009243401, 3.000008009243401, 3.0000062770469262, 3.000002576221106, 3.000002576221106, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000087947596, 3.0000000076277122, 3.0000000076277122, 3.0000000076277122, 3.0000000006828977, 3.0000000006828977, 3.0000000006828977, 3.0000000006828977, 3.0000000002651825, 3.0000000002651825, 3.000000000104507, 3.000000000104507, 3.000000000104507, 3.000000000104507, 3.000000000104507, 3.000000000104507, 3.000000000104507, 3.000000000104507, 3.000000000085779, 3.0000000000441625, 3.0000000000353455, 3.0000000000353455, 3.0000000000262173, 3.0000000000262173, 3.000000000017777, 3.000000000017777, 3.0000000000157723, 3.0000000000018097, 3.0000000000018097, 3.0000000000018097, 3.0000000000018097, 3.0000000000018097, 3.0000000000018097, 3.0000000000018097, 3.00000000000173, 3.000000000000966, 3.0000000000005627, 3.0000000000003824, 3.0000000000003064, 3.0000000000002056, 3.0000000000001936, 3.000000000000193, 3.0000000000001306, 3.0000000000001306, 3.0000000000001306, 3.0000000000001306]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,9,2256,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[-1.0567390309230636e-08, -0.9999999991772631]",2.9999999999999742,1.0599369505733412e-08,120,4840,"[54.0161976463857, 54.0161976463857, 13.766504280282948, 13.766504280282948, 13.766504280282948, 3.931690680428722, 3.931690680428722, 3.931690680428722, 3.931690680428722, 3.931690680428722, 3.5694868337335506, 3.5694868337335506, 3.1013985847749006, 3.1013985847749006, 3.0426026501092593, 3.0324870716609644, 3.0324870716609644, 3.0133411299387696, 3.0133411299387696, 3.0133411299387696, 3.0133411299387696, 3.0133411299387696, 3.007763525472953, 3.007763525472953, 3.007763525472953, 3.007763525472953, 3.0046160136732665, 3.0046160136732665, 3.0046160136732665, 3.0008608608839817, 3.0008608608839817, 3.0008608608839817, 3.0008010476567577, 3.0008010476567577, 3.0005022422504295, 3.0005022422504295, 3.0003735952734103, 3.000058666692806, 3.000058666692806, 3.000058666692806, 3.0000077167122576, 3.0000077167122576, 3.0000077167122576, 3.0000077167122576, 3.0000077167122576, 3.000000511638868, 3.000000511638868, 3.000000511638868, 3.000000511638868, 3.0000003262346975, 3.0000003262346975, 3.0000002092052345, 3.0000002092052345, 3.0000002092052345, 3.0000002092052345, 3.0000002092052345, 3.0000002092052345, 3.0000002092052345, 3.0000002092052345, 3.000000081678368, 3.000000081678368, 3.000000081678368, 3.000000081678368, 3.000000081678368, 3.000000081678368, 3.0000000572565613, 3.0000000572565613, 3.0000000572565613, 3.0000000572565613, 3.0000000180363102, 3.0000000180363102, 3.0000000180363102, 3.0000000103873083, 3.0000000103873083, 3.0000000103873083, 3.0000000103873083, 3.0000000102852047, 3.0000000102852047, 3.0000000102852047, 3.0000000102852047, 3.000000007230086, 3.0000000038192893, 3.0000000038192893, 3.0000000003515264, 3.0000000003515264, 3.0000000003515264, 3.0000000003515264, 3.0000000003515264, 3.0000000000408136, 3.0000000000408136, 3.0000000000408136, 3.0000000000408136, 3.0000000000408136, 3.0000000000408136, 3.000000000037088, 3.000000000030781, 3.000000000028208, 3.000000000027287, 3.0000000000270957, 3.0000000000270957, 3.0000000000270957, 3.0000000000214335, 3.0000000000116978, 3.000000000004884, 3.0000000000022222, 3.000000000001417, 3.000000000001337, 3.000000000001337, 3.000000000000066, 3.0000000000000413, 3.0000000000000413, 3.0000000000000413, 3.0000000000000413, 3.0000000000000413, 3.0000000000000413, 3.0000000000000413, 2.9999999999999836, 2.9999999999999836, 2.9999999999999742, 2.9999999999999742, 2.9999999999999742]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
goldstein_price,Goldstein-Price,10,2296,pso,PSO,2,"[-2.0, 2.0]","[0.0, -1.0]","[-2.385649607364067e-09, -0.999999989748691]",3.0000000000000315,1.0525239225413053e-08,120,4840,"[53.940443585191574, 53.940443585191574, 43.4618712558751, 23.988179135199214, 6.216779189452803, 6.216779189452803, 6.1575937874239655, 6.1575937874239655, 4.322763805266569, 3.7122566224077578, 3.7122566224077578, 3.2759626033207225, 3.2759626033207225, 3.141084347515592, 3.141084347515592, 3.141084347515592, 3.141084347515592, 3.141084347515592, 3.141084347515592, 3.04068817412604, 3.04068817412604, 3.04068817412604, 3.0259917972017063, 3.0259917972017063, 3.022103057564545, 3.015487136782063, 3.015487136782063, 3.015487136782063, 3.0074129021740412, 3.0010113659094966, 3.0010113659094966, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000014536825073, 3.0000009957092875, 3.0000009957092875, 3.0000009957092875, 3.0000009957092875, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000117110111, 3.000000111330857, 3.000000111330857, 3.000000111330857, 3.000000111330857, 3.0000000962449525, 3.0000000143797574, 3.0000000143797574, 3.0000000143797574, 3.0000000143797574, 3.0000000036703347, 3.0000000036703347, 3.0000000036703347, 3.0000000036703347, 3.0000000025825915, 3.0000000025825915, 3.0000000010963275, 3.0000000010963275, 3.0000000009096817, 3.0000000004059766, 3.0000000004059766, 3.0000000004059766, 3.0000000004059766, 3.000000000125867, 3.000000000125867, 3.000000000125867, 3.000000000125867, 3.000000000125867, 3.000000000125867, 3.000000000047857, 3.000000000047857, 3.000000000047857, 3.000000000047857, 3.000000000047857, 3.000000000047857, 3.000000000047857, 3.0000000000382756, 3.0000000000382756, 3.0000000000025797, 3.0000000000025797, 3.0000000000025797, 3.0000000000025797, 3.0000000000025797, 3.000000000000533, 3.000000000000533, 3.000000000000533, 3.0000000000001616, 3.0000000000001616, 3.0000000000001616, 3.0000000000001616, 3.0000000000001616, 3.0000000000000377, 3.0000000000000377, 3.0000000000000315, 3.0000000000000315, 3.0000000000000315, 3.0000000000000315, 3.0000000000000315, 3.0000000000000315]","{""cognitive_weight"": 1.5, ""inertia_weight"": 0.7, ""max_iterations"": 120, ""social_weight"": 1.5, ""swarm_size"": 40}"
