funcion,nombre_funcion,corrida,semilla,metodo,nombre_metodo,dimension,limites,optimo_conocido,mejor_solucion,mejor_valor,distancia_al_optimo,iteraciones,evaluaciones,best_values_history,parametros
rastrigin,Rastrigin,1,1496,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[0.00021645890678863755, 0.00015227399699528112, -4.262660202217965e-05]",1.4256226645414927e-05,0.0002680650213828881,120,4840,"[24.029970759164275, 24.029970759164275, 13.29151964597495, 12.80219132691349, 12.80219132691349, 12.80219132691349, 12.80219132691349, 12.80219132691349, 12.80219132691349, 12.80219132691349, 10.271703182831219, 10.271703182831219, 10.271703182831219, 9.228297048602656, 5.390869234357085, 5.390869234357085, 4.798595548917017, 4.798595548917017, 4.798595548917017, 4.798595548917017, 4.798595548917017, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.5901288628403556, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 2.226231224032798, 1.575951445361337, 1.575951445361337, 1.575951445361337, 1.575951445361337, 1.3857850364819342, 1.3857850364819342, 1.1729396943193908, 1.1729396943193908, 1.1729396943193908, 1.1729396943193908, 1.1729396943193908, 1.1729396943193908, 1.172502295645213, 1.172502295645213, 1.172502295645213, 1.172502295645213, 0.4938646031129377, 0.4938646031129377, 0.4938646031129377, 0.4938646031129377, 0.29925676971955895, 0.29925676971955895, 0.29925676971955895, 0.2521262509002451, 0.2521262509002451, 0.217855477545557, 0.217855477545557, 0.217855477545557, 0.03506072913513947, 0.03506072913513947, 0.03506072913513947, 0.03506072913513947, 0.03506072913513947, 0.03506072913513947, 0.03506072913513947, 0.03506072913513947, 0.03506072913513947, 0.011932604657948431, 0.011932604657948431, 0.011932604657948431, 0.011932604657948431, 0.011932604657948431, 0.011932604657948431, 0.00399496030525448, 0.00399496030525448, 0.00399496030525448, 0.00399496030525448, 0.00399496030525448, 0.00399496030525448, 0.003770531502032881, 0.003770531502032881, 0.0029308384711743685, 0.0022163521012590337, 0.0007340442101906319, 0.0007340442101906319, 0.0006149920041806922, 0.0006149920041806922, 0.0006149920041806922, 0.00040928039491738843, 0.00040928039491738843, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05, 1.4256226645414927e-05]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,2,1497,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[0.0002716704853194067, 0.00020159789411261573, -5.332848588236912e-05]",2.32695007795769e-05,0.0003424769932576923,120,4840,"[11.47149753647709, 11.47149753647709, 5.44305298376784, 5.44305298376784, 5.44305298376784, 5.44305298376784, 5.44305298376784, 5.44305298376784, 5.44305298376784, 5.44305298376784, 5.44305298376784, 5.44305298376784, 5.44305298376784, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 2.7198546740539005, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.3512547430365345, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.2908043608668471, 1.1775914799875284, 1.1775914799875284, 1.1775914799875284, 0.797578652801457, 0.797578652801457, 0.797578652801457, 0.797578652801457, 0.797578652801457, 0.797578652801457, 0.7529144999925759, 0.7529144999925759, 0.7529144999925759, 0.7529144999925759, 0.7529144999925759, 0.7529144999925759, 0.7529144999925759, 0.7498892491472002, 0.7498892491472002, 0.7498892491472002, 0.7498892491472002, 0.7498892491472002, 0.7498892491472002, 0.4133315323486997, 0.3084189986419972, 0.27428675642743094, 0.27428675642743094, 0.27428675642743094, 0.07256728967532666, 0.07256728967532666, 0.06386741906501037, 0.06386741906501037, 0.05496237145556826, 0.005282254617615223, 0.005282254617615223, 0.005282254617615223, 0.005282254617615223, 0.005282254617615223, 0.005282254617615223, 0.005282254617615223, 0.005282254617615223, 0.005282254617615223, 0.001965088015236205, 0.001965088015236205, 0.001965088015236205, 0.001965088015236205, 0.001965088015236205, 0.001965088015236205, 0.001965088015236205, 0.001965088015236205, 0.0011631879990225968, 0.0006239234353540013, 0.00033072289233082586, 0.00033072289233082586, 0.00033072289233082586, 0.00017393783712194022, 0.00017393783712194022, 0.00017393783712194022, 0.00017393783712194022, 0.00017393783712194022, 0.00017393783712194022, 7.703139411496807e-05, 5.784322394397634e-05, 4.386953549406769e-05, 4.386953549406769e-05, 2.32695007795769e-05, 2.32695007795769e-05, 2.32695007795769e-05, 2.32695007795769e-05]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,3,1498,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[-0.0002515045693141423, 0.0004400131853254392, -0.0002254710753662268]",6.104588296196312e-05,0.0005547101562734671,120,4840,"[34.24123641640157, 17.897802993021603, 14.905210437905707, 14.905210437905707, 10.264632711104342, 10.264632711104342, 10.264632711104342, 10.264632711104342, 9.607577152515134, 9.607577152515134, 9.607577152515134, 5.855300413601158, 5.855300413601158, 5.855300413601158, 5.368426602654654, 5.368426602654654, 5.368426602654654, 5.368426602654654, 5.368426602654654, 5.368426602654654, 5.368426602654654, 5.368426602654654, 5.368426602654654, 3.3789197446524106, 2.8499353860917243, 2.8499353860917243, 2.8499353860917243, 2.5340081060067874, 2.5340081060067874, 2.5340081060067874, 2.5340081060067874, 2.5340081060067874, 2.5340081060067874, 2.5340081060067874, 2.171139193217977, 2.171139193217977, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 1.189721319925976, 0.6065209578934887, 0.6065209578934887, 0.6065209578934887, 0.6065209578934887, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.5239966268296286, 0.13388920972117546, 0.13388920972117546, 0.13388920972117546, 0.13388920972117546, 0.13388920972117546, 0.13388920972117546, 0.13388920972117546, 0.13388920972117546, 0.13388920972117546, 0.13388920972117546, 0.07917098959765134, 0.07917098959765134, 0.06363182646927079, 0.04567111763149434, 0.04567111763149434, 0.04567111763149434, 0.02438643610936886, 0.02438643610936886, 0.02438643610936886, 0.02438643610936886, 0.009276968437424316, 0.009276968437424316, 0.009276968437424316, 0.006106216045139945, 0.006106216045139945, 0.0025242349609460035, 0.0025242349609460035, 0.0025242349609460035, 0.0025242349609460035, 0.0011538968876063649, 0.0011538968876063649, 0.0011538968876063649, 0.000290257675088057, 0.00012324601706659166, 0.00012324601706659166, 0.00012324601706659166, 0.00012324601706659166, 0.00012324601706659166, 0.00012324601706659166, 0.00012324601706659166, 0.00012324601706659166, 0.00012324601706659166, 0.00012324601706659166, 6.104588296196312e-05]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,4,1499,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[0.00033505146606854037, -0.0009070376942335713, -0.0007553943978786861]",0.00029869798447101914,0.001227027937751107,120,4840,"[24.186076226969092, 24.186076226969092, 18.437495380925082, 18.437495380925082, 18.437495380925082, 18.437495380925082, 18.437495380925082, 15.405293952199356, 12.688708813518755, 12.688708813518755, 5.369024365351212, 5.369024365351212, 5.369024365351212, 5.369024365351212, 5.369024365351212, 5.369024365351212, 5.369024365351212, 5.369024365351212, 5.369024365351212, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.9726048442895276, 3.2072533858575163, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.30241090222194345, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.26824209519894104, 0.2641827455744181, 0.2641827455744181, 0.2641827455744181, 0.2641827455744181, 0.2641827455744181, 0.10846113183927741, 0.10846113183927741, 0.10846113183927741, 0.10846113183927741, 0.10846113183927741, 0.10846113183927741, 0.10846113183927741, 0.10846113183927741, 0.10392774316575171, 0.10392774316575171, 0.08222985914534675, 0.08222985914534675, 0.03897198279782188, 0.029401326513331938, 0.029275860754198746, 0.008561952914156734, 0.008561952914156734, 0.00561196823259813, 0.00561196823259813, 0.00492086142336845, 0.00492086142336845, 0.00492086142336845, 0.0009279989523474086, 0.0009279989523474086, 0.0009279989523474086, 0.0007412437928699944, 0.0007412437928699944, 0.0007412437928699944, 0.00029869798447101914, 0.00029869798447101914, 0.00029869798447101914, 0.00029869798447101914, 0.00029869798447101914, 0.00029869798447101914]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,5,1500,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[-0.00017465404616399168, -0.0003120210949982523, 0.0003658825087924445]",5.192538281661996e-05,0.0005115967257573248,120,4840,"[21.30953678040556, 21.30953678040556, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 1.6144557472317125, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.7282426617843605, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.05929612656080252, 0.006857611073545655, 0.006857611073545655, 0.006857611073545655, 0.006857611073545655, 0.006857611073545655, 0.006857611073545655, 0.006857611073545655, 0.006857611073545655, 0.006857611073545655, 0.006857611073545655, 0.0037418871939944864, 0.0016744710150291553, 0.0016744710150291553, 0.0016744710150291553, 0.0016744710150291553, 0.0016744710150291553, 0.0006786675582439727, 0.0006786675582439727, 0.0006786675582439727, 0.0006786675582439727, 5.192538281661996e-05, 5.192538281661996e-05, 5.192538281661996e-05, 5.192538281661996e-05]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,6,1501,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[0.0006664569045051615, 0.0004029137106425504, 0.0002303305601844852]",0.000130850630409185,0.000812130796572356,120,4840,"[21.598094957881617, 21.598094957881617, 10.015364211307455, 10.015364211307455, 10.015364211307455, 10.015364211307455, 10.015364211307455, 9.246497921944698, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 3.639869554812326, 2.709388110777912, 2.709388110777912, 2.709388110777912, 2.709388110777912, 2.709388110777912, 2.709388110777912, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 2.0320365497710586, 1.4563103978960665, 1.4563103978960665, 1.4563103978960665, 1.4563103978960665, 1.4563103978960665, 1.4563103978960665, 1.3605022394361814, 1.3605022394361814, 1.101355112476611, 1.101355112476611, 1.101355112476611, 1.101355112476611, 1.101355112476611, 1.101355112476611, 1.101355112476611, 1.101355112476611, 0.9341485320494236, 0.9341485320494236, 0.9341485320494236, 0.9341485320494236, 0.9341485320494236, 0.9341485320494236, 0.7271598833033615, 0.7271598833033615, 0.7271598833033615, 0.27501234426875776, 0.27501234426875776, 0.12647462250328623, 0.12647462250328623, 0.12647462250328623, 0.12647462250328623, 0.12647462250328623, 0.12647462250328623, 0.12647462250328623, 0.12647462250328623, 0.0850870841882756, 0.0850870841882756, 0.0850870841882756, 0.0850870841882756, 0.031722286608131256, 0.031722286608131256, 0.031722286608131256, 0.031722286608131256, 0.031722286608131256, 0.009411031681636928, 0.009411031681636928, 0.009411031681636928, 0.009411031681636928, 0.009411031681636928, 0.009411031681636928, 0.009411031681636928, 0.00455140548382893, 0.00455140548382893, 0.0038800233480102975, 0.001268439428361745, 0.0003071916490764437, 0.0003071916490764437, 0.0003071916490764437, 0.0003071916490764437, 0.0003071916490764437, 0.0003071916490764437, 0.0003071916490764437, 0.0003071916490764437, 0.0003071916490764437, 0.000130850630409185, 0.000130850630409185, 0.000130850630409185, 0.000130850630409185]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,7,1502,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[0.0001863213857781561, -0.0005014710323829751, -0.0014743174541884368]",0.0004880019090212073,0.001568375213666109,120,4840,"[18.316728439438418, 18.316728439438418, 15.980347775390602, 15.980347775390602, 15.980347775390602, 15.980347775390602, 14.179123444902796, 8.163823902093142, 8.163823902093142, 8.163823902093142, 5.000152183681152, 5.000152183681152, 5.000152183681152, 5.000152183681152, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 4.619014495085445, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 1.1958904239572146, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.6120558632931505, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.11835648216717232, 0.07147331423694325, 0.07147331423694325, 0.07147331423694325, 0.052781233815720086, 0.051642966397141166, 0.035381452838954885, 0.009454625864687927, 0.009454625864687927, 0.009454625864687927, 0.002003425242726564, 0.002003425242726564, 0.002003425242726564, 0.002003425242726564, 0.002003425242726564, 0.002003425242726564, 0.002003425242726564, 0.002003425242726564, 0.0004880019090212073]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,8,1503,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[0.0003377692739051125, -0.0002458489809950932, -0.0009378861540023768]",0.00020913653816911904,0.0010267230598949664,120,4840,"[23.927304814348897, 23.927304814348897, 9.230358658146153, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 8.226510280040399, 7.254524865645079, 7.254524865645079, 7.254524865645079, 7.254524865645079, 7.254524865645079, 6.8982363273520555, 6.8982363273520555, 5.839547248122894, 5.839547248122894, 5.839547248122894, 4.672925418189306, 4.672925418189306, 4.672925418189306, 4.672925418189306, 4.672925418189306, 4.672925418189306, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.7927443459074652, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.2727348372455438, 0.1802477624273937, 0.1802477624273937, 0.1802477624273937, 0.1802477624273937, 0.1802477624273937, 0.1021030603233406, 0.1021030603233406, 0.07330991729516434, 0.07330991729516434, 0.07330991729516434, 0.039216821633784704, 0.039216821633784704, 0.0070984819210728745, 0.0070984819210728745, 0.0070984819210728745, 0.0070984819210728745, 0.0070984819210728745, 0.0070984819210728745, 0.0070984819210728745, 0.0070984819210728745, 0.002467839733855115, 0.002467839733855115, 0.002467839733855115, 0.002467839733855115, 0.002467839733855115, 0.002467839733855115, 0.002467839733855115, 0.0022516525960529776, 0.0022516525960529776, 0.0022516525960529776, 0.0019477457815764154, 0.0019477457815764154, 0.00020913653816911904]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,9,1504,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[-0.03596189631408852, -0.025302130793727833, 0.019987337210508337]",0.46138492129927045,0.048300615503063055,120,4840,"[23.898723269472868, 23.898723269472868, 21.368662034433203, 21.368662034433203, 21.368662034433203, 9.527792257394132, 9.527792257394132, 9.527792257394132, 9.527792257394132, 8.996396577057562, 8.996396577057562, 7.530208237820478, 7.530208237820478, 7.530208237820478, 7.530208237820478, 7.530208237820478, 7.530208237820478, 7.530208237820478, 7.530208237820478, 7.458632500247955, 7.458632500247955, 5.89085375685389, 5.89085375685389, 5.89085375685389, 5.245415868990015, 5.199065372067808, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 4.097033823641427, 3.215476707428124, 3.215476707428124, 3.215476707428124, 3.215476707428124, 3.215476707428124, 3.215476707428124, 3.215476707428124, 3.215476707428124, 3.215476707428124, 3.215476707428124, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 2.4033654391710773, 1.7514586367242249, 1.7514586367242249, 1.7514586367242249, 1.7514586367242249, 1.7514586367242249, 1.7514586367242249, 1.4727940625344864, 1.2682598265738978, 1.2682598265738978, 1.2682598265738978, 1.2682598265738978, 1.2682598265738978, 1.2682598265738978, 1.2682598265738978, 1.2682598265738978, 1.2682598265738978, 1.2682598265738978, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 1.1908365076458463, 0.46138492129927045, 0.46138492129927045, 0.46138492129927045, 0.46138492129927045]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
rastrigin,Rastrigin,10,1544,de,Evolucion diferencial,3,"[-5.12, 5.12]","[0.0, 0.0, 0.0]","[-0.00018520157363332776, -0.000290017373982418, -0.0032080553463210808]",0.0020651985644608573,0.0032264576248801392,120,4840,"[26.954235348275606, 13.169486420798528, 13.169486420798528, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 5.22215298582195, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 2.642325821726226, 1.654575478714401, 1.654575478714401, 1.654575478714401, 1.654575478714401, 1.654575478714401, 1.5165729077866352, 1.5165729077866352, 1.5165729077866352, 1.5165729077866352, 1.5165729077866352, 1.5165729077866352, 1.5165729077866352, 1.5165729077866352, 1.5165729077866352, 1.5165729077866352, 1.4998169561374244, 1.4998169561374244, 1.4998169561374244, 1.4998169561374244, 1.4998169561374244, 1.4998169561374244, 1.4998169561374244, 1.281406724330246, 1.281406724330246, 1.2217712286273894, 1.0973230884896452, 1.0973230884896452, 1.0973230884896452, 1.091024090396333, 1.091024090396333, 1.091024090396333, 1.091024090396333, 1.091024090396333, 1.091024090396333, 1.091024090396333, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.08441618358384417, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.039109173411535636, 0.036101524312769584, 0.036101524312769584, 0.036101524312769584, 0.011564115495392713, 0.011564115495392713, 0.011564115495392713, 0.0020651985644608573, 0.0020651985644608573, 0.0020651985644608573, 0.0020651985644608573]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
