funcion,nombre_funcion,corrida,semilla,metodo,nombre_metodo,dimension,limites,optimo_conocido,mejor_solucion,mejor_valor,distancia_al_optimo,iteraciones,evaluaciones,best_values_history,parametros
rastrigin,Rastrigin,1,1492,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[-0.06574016509372438, 0.018735454927075068]",0.9149035020389,0.06835778359393024,120,4840,"[5.535490671376493, 5.028018746539459, 5.028018746539459, 5.028018746539459, 4.0502180908589835, 4.0502180908589835, 4.0502180908589835, 4.0502180908589835, 4.0502180908589835, 4.0502180908589835, 4.0502180908589835, 4.0502180908589835, 4.0502180908589835, 4.0502180908589835, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.5678795623004689, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.3142537374605539, 1.1849140522571489, 1.1849140522571489, 1.1849140522571489, 1.1557942435678115, 1.1557942435678115, 1.1557942435678115, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 1.0264545583644065, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389, 0.9149035020389]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,2,1493,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[0.0006419308659522116, -0.06114553028384506]",0.7327923312368387,0.06114889981781582,120,4840,"[3.196597624472039, 3.196597624472039, 3.196597624472039, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 1.0691726001518909, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.8888852591725804, 0.7327923312368387, 0.7327923312368387, 0.7327923312368387, 0.7327923312368387, 0.7327923312368387, 0.7327923312368387, 0.7327923312368387, 0.7327923312368387, 0.7327923312368387]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,3,1494,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[-0.034063534508817384, 0.03585442509478032]",0.48329574005199305,0.04945567896723899,120,4840,"[6.257164900763538, 6.257164900763538, 5.847025475983813, 5.847025475983813, 5.847025475983813, 2.1698276733066386, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.370691790345612, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 1.2494815074016579, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.9058357224723466, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305, 0.48329574005199305]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,4,1495,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[-0.06843320769371797, 0.004264799047999368]",0.9185443285232573,0.06856597134272478,120,4840,"[11.06104355443365, 11.06104355443365, 11.06104355443365, 11.06104355443365, 8.02379039303423, 8.02379039303423, 8.02379039303423, 4.817604112878199, 4.817604112878199, 4.357085096699274, 4.357085096699274, 4.357085096699274, 4.357085096699274, 4.357085096699274, 4.357085096699274, 2.484733407388493, 2.1276396344955693, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 2.0242143912095685, 0.999923191966861, 0.999923191966861, 0.999923191966861, 0.999923191966861, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573, 0.9185443285232573]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,5,1496,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[-0.014860917468323187, 0.015180403020864652]",0.08946652441938596,0.021243622663665203,120,4840,"[17.028480869725044, 17.028480869725044, 17.028480869725044, 9.345148494656776, 9.345148494656776, 9.345148494656776, 6.419781143077051, 6.419781143077051, 6.419781143077051, 6.419781143077051, 6.419781143077051, 6.419781143077051, 6.3905104714770635, 6.3905104714770635, 6.3905104714770635, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 3.376189366193742, 2.660446201789812, 2.660446201789812, 2.660446201789812, 2.660446201789812, 2.660446201789812, 2.660446201789812, 2.660446201789812, 2.660446201789812, 2.2427935419315013, 2.2427935419315013, 2.2427935419315013, 2.2427935419315013, 2.2427935419315013, 2.2427935419315013, 2.2427935419315013, 2.2427935419315013, 2.2427935419315013, 1.0337840962582838, 1.0337840962582838, 1.0337840962582838, 1.0337840962582838, 1.0337840962582838, 1.0337840962582838, 1.0337840962582838, 1.0337840962582838, 1.0337840962582838, 1.0337840962582838, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.9942022372519652, 0.44881838497998316, 0.44881838497998316, 0.44881838497998316, 0.44881838497998316, 0.44881838497998316, 0.11965531261354379, 0.11965531261354379, 0.11965531261354379, 0.11965531261354379, 0.11965531261354379, 0.11965531261354379, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596, 0.08946652441938596]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,6,1497,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[-0.016242248098969903, -0.016076607336859006]",0.10352528005716444,0.02285318198352344,120,4840,"[8.681160308831732, 8.681160308831732, 8.681160308831732, 5.851863907233717, 5.851863907233717, 3.5871600458341426, 3.5871600458341426, 3.5871600458341426, 2.7235307451214172, 2.120178293241713, 2.120178293241713, 2.120178293241713, 2.120178293241713, 2.120178293241713, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.2317402571142182, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 1.047175008062366, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444, 0.10352528005716444]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,7,1498,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[0.0016768595927025842, -0.004002714683617015]",0.0037362620152894266,0.004339767612681805,120,4840,"[11.922325818803042, 5.6462546541029495, 5.6462546541029495, 5.6462546541029495, 5.6462546541029495, 3.9896233254725315, 3.9896233254725315, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.4056361767017105, 1.0251092092110632, 1.0251092092110632, 1.0251092092110632, 1.0251092092110632, 1.0251092092110632, 1.0251092092110632, 1.0251092092110632, 0.3842632295059367, 0.3842632295059367, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266, 0.0037362620152894266]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,8,1499,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[-0.0036237318305278876, -0.05519726483681353]",0.6010498271493834,0.05531608697155749,120,4840,"[8.66368237180053, 8.66368237180053, 8.66368237180053, 7.314431062379539, 7.314431062379539, 7.314431062379539, 3.328020295469601, 3.328020295469601, 3.328020295469601, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 2.6366113761462966, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6351239693318522, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 1.6204435394264642, 0.6010498271493834]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,9,1500,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[0.005561518389678, -0.0031973746451345875]",0.008163877654187246,0.006415114295168567,120,4840,"[11.478117080949971, 11.478117080949971, 9.621205687058321, 9.621205687058321, 7.997425203580316, 7.997425203580316, 7.997425203580316, 7.27770623055909, 7.27770623055909, 6.243777973371881, 6.243777973371881, 6.243777973371881, 6.243777973371881, 6.243777973371881, 6.243777973371881, 6.243777973371881, 6.243777973371881, 6.243777973371881, 5.628372881620148, 3.9575717486961004, 3.9575717486961004, 3.9575717486961004, 3.9575717486961004, 3.9575717486961004, 3.342166656944368, 2.3404427342303045, 2.3404427342303045, 2.3404427342303045, 2.3404427342303045, 2.3404427342303045, 2.3404427342303045, 2.3404427342303045, 1.0098878003682508, 1.0098878003682508, 0.06040246486162104, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246, 0.008163877654187246]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rastrigin,Rastrigin,10,1540,ea,Algoritmo evolutivo,2,"[-5.12, 5.12]","[0.0, 0.0]","[0.9966360750770082, 0.00031930631621968075]",0.9955372974203502,0.9966361262273346,120,4840,"[6.1059057074456575, 6.1059057074456575, 6.1059057074456575, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 2.0251596924319113, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 1.3292939364490053, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502, 0.9955372974203502]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
