funcion,nombre_funcion,corrida,semilla,metodo,nombre_metodo,dimension,limites,optimo_conocido,mejor_solucion,mejor_valor,distancia_al_optimo,iteraciones,evaluaciones,best_values_history,parametros
rosenbrock,Rosenbrock,1,1593,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[1.3032648356581187, 1.6911599554497867]",0.09735605837367571,0.7547659535008829,120,4840,"[0.3494687581678856, 0.3494687581678856, 0.3494687581678856, 0.33530991872328053, 0.1002725373652907, 0.1002725373652907, 0.1002725373652907, 0.1002725373652907, 0.1002725373652907, 0.1002725373652907, 0.1002725373652907, 0.1002725373652907, 0.1002725373652907, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571, 0.09735605837367571]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,2,1594,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[1.1584397993894697, 1.34318118686206]",0.025246790613442,0.3779900753282122,120,4840,"[0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442, 0.025246790613442]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,3,1595,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[1.071343725826444, 1.1459662262776278]",0.005417954585246568,0.16246866291236117,120,4840,"[2.226063690978434, 2.226063690978434, 2.226063690978434, 0.430859093957137, 0.430859093957137, 0.430859093957137, 0.430859093957137, 0.430859093957137, 0.430859093957137, 0.430859093957137, 0.430859093957137, 0.430859093957137, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.1309017364847233, 0.04919809358939327, 0.04919809358939327, 0.04919809358939327, 0.04919809358939327, 0.04919809358939327, 0.04919809358939327, 0.04919809358939327, 0.04919809358939327, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.038996987204604885, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568, 0.005417954585246568]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,4,1596,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[1.1387872692424161, 1.3042185371293766]",0.024711435131827164,0.33438125610880887,120,4840,"[13.441728541049509, 2.116816687854825, 2.116816687854825, 2.116816687854825, 2.116816687854825, 1.3044608532237103, 1.3044608532237103, 1.3044608532237103, 1.3044608532237103, 1.3044608532237103, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.06734721072014076, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164, 0.024711435131827164]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,5,1597,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[1.049899499788633, 1.1081878164400605]",0.0059696112145437765,0.1191409405083912,120,4840,"[0.6153708907405301, 0.6153708907405301, 0.6153708907405301, 0.6153708907405301, 0.3222430253501562, 0.08162984282657117, 0.08162984282657117, 0.08162984282657117, 0.08162984282657117, 0.08162984282657117, 0.08162984282657117, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.07301337803761836, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765, 0.0059696112145437765]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,6,1598,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[1.0119209729359908, 1.0180230016862613]",0.003695525814287609,0.02160875252122624,120,4840,"[0.5077471990927593, 0.4579844510845461, 0.10123832098126913, 0.10123832098126913, 0.10123832098126913, 0.10123832098126913, 0.10123832098126913, 0.10123832098126913, 0.10123832098126913, 0.10123832098126913, 0.10123832098126913, 0.10123832098126913, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609, 0.003695525814287609]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,7,1599,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[1.1702634990697747, 1.372495505128302]",0.029877012580691392,0.40956386615065554,120,4840,"[2.2487004952934164, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392, 0.029877012580691392]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,8,1600,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[0.97149040213848, 0.9389117442888373]",0.003196050101677261,0.06741344195379723,120,4840,"[2.8203261023478072, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261, 0.003196050101677261]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,9,1601,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[1.4166220152770825, 2.004299496573501]",0.17420815640512635,1.0872862467774185,120,4840,"[1.2447093316925397, 1.2447093316925397, 1.2447093316925397, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.3583690183446495, 0.29123131449664436, 0.29123131449664436, 0.29123131449664436, 0.29123131449664436, 0.21652155577939552, 0.21652155577939552, 0.21652155577939552, 0.21652155577939552, 0.21652155577939552, 0.21652155577939552, 0.21652155577939552, 0.21652155577939552, 0.21652155577939552, 0.21652155577939552, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.20403647800803426, 0.17446836749834604, 0.17446836749834604, 0.17446836749834604, 0.17446836749834604, 0.17446836749834604, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635, 0.17420815640512635]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
rosenbrock,Rosenbrock,10,1641,ea,Algoritmo evolutivo,2,"[-2.048, 2.048]","[1.0, 1.0]","[0.580084881917625, 0.3389448599117655]",0.1769271886419408,0.7831491586097825,120,4840,"[0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.5230633036864184, 0.24960195621971498, 0.24960195621971498, 0.24960195621971498, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.21594822779283337, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408, 0.1769271886419408]","{""elitism_fraction"": 0.2, ""max_iterations"": 120, ""mutation_fraction"": 0.1, ""population_size"": 40}"
