funcion,nombre_funcion,corrida,semilla,metodo,nombre_metodo,dimension,limites,optimo_conocido,mejor_solucion,mejor_valor,distancia_al_optimo,iteraciones,evaluaciones,best_values_history,parametros
six_hump_camel,Six-Hump Camel,1,2002,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984201531364736, 0.7126564014921524]",-1.0316284534898774,1.436593814272692,120,4840,"[-0.9166459840118413, -0.9166459840118413, -0.9166459840118413, -0.9753612269384718, -0.9753612269384718, -0.9753612269384718, -0.9753612269384718, -0.9753612269384718, -0.9872354528540979, -0.9872354528540979, -0.9872354528540979, -0.9936123682821892, -0.9936123682821892, -1.0062888654775997, -1.0182403293786129, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.031537163180459, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316072685394055, -1.0316102997113805, -1.0316208657060117, -1.0316208657060117, -1.0316252852659664, -1.0316252852659664, -1.0316252852659664, -1.0316252852659664, -1.0316252852659664, -1.0316282616151933, -1.0316282616151933, -1.0316282616151933, -1.031628293055382, -1.031628293055382, -1.031628293055382, -1.031628293055382, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.031628451994256, -1.0316284525758508, -1.0316284526265793, -1.0316284526265793, -1.0316284527155393, -1.031628453193005, -1.031628453193005, -1.0316284532202862, -1.0316284534015399, -1.0316284534127955, -1.0316284534127955, -1.0316284534127955, -1.0316284534127955, -1.031628453428642, -1.0316284534476856, -1.031628453486745, -1.031628453486745, -1.0316284534889861, -1.0316284534889861, -1.0316284534889861, -1.0316284534889861, -1.0316284534889861, -1.0316284534889861, -1.031628453489064, -1.0316284534893194, -1.0316284534898277, -1.0316284534898277, -1.031628453489865, -1.031628453489865, -1.031628453489865, -1.031628453489865, -1.031628453489865, -1.031628453489865, -1.031628453489865, -1.0316284534898705, -1.0316284534898705, -1.0316284534898763, -1.0316284534898763, -1.0316284534898763, -1.0316284534898763, -1.0316284534898768, -1.0316284534898768, -1.0316284534898768, -1.0316284534898768, -1.031628453489877, -1.031628453489877, -1.031628453489877, -1.0316284534898772, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,2,2003,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.08984270364032794, -0.7126561885423619]",-1.0316284534874935,7.284627192542418e-07,120,4840,"[-0.3571720377707811, -0.9898914876238907, -0.9898914876238907, -0.9898914876238907, -0.9898914876238907, -0.9898914876238907, -0.9898914876238907, -0.9898914876238907, -1.0014630991328621, -1.0014630991328621, -1.025670041716825, -1.025670041716825, -1.025670041716825, -1.025670041716825, -1.025670041716825, -1.025670041716825, -1.025670041716825, -1.025670041716825, -1.025670041716825, -1.0290994080462585, -1.0290994080462585, -1.0290994080462585, -1.0308149436819465, -1.0308149436819465, -1.0309206675818705, -1.0309206675818705, -1.0309206675818705, -1.0309206675818705, -1.0309206675818705, -1.0309206675818705, -1.0309306280336377, -1.0309306280336377, -1.0309306280336377, -1.0309306280336377, -1.031421107973648, -1.031421107973648, -1.031421107973648, -1.031421107973648, -1.031421107973648, -1.0315593492294632, -1.0315593492294632, -1.0315593492294632, -1.0315620307440745, -1.0315620307440745, -1.0315620307440745, -1.0315620307440745, -1.031611041845808, -1.031611041845808, -1.031611041845808, -1.031611041845808, -1.031611041845808, -1.031611041845808, -1.031611041845808, -1.031616939561898, -1.031616939561898, -1.0316235666252371, -1.0316235666252371, -1.0316235666252371, -1.0316235666252371, -1.0316235666252371, -1.0316235666252371, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284170560732, -1.0316284361848878, -1.0316284361848878, -1.0316284361848878, -1.0316284361848878, -1.0316284361848878, -1.0316284361848878, -1.0316284361848878, -1.0316284464632566, -1.0316284464632566, -1.0316284464632566, -1.0316284464632566, -1.0316284464632566, -1.0316284464632566, -1.0316284482821776, -1.0316284482821776, -1.0316284482821776, -1.0316284482821776, -1.0316284482821776, -1.0316284482821776, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284531183049, -1.0316284534655673, -1.0316284534655673, -1.0316284534655673, -1.0316284534655673, -1.0316284534655673, -1.0316284534655673, -1.0316284534874935, -1.0316284534874935, -1.0316284534874935, -1.0316284534874935, -1.0316284534874935]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,3,2004,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984229394976624, 0.7126560238804475]",-1.0316284534882862,1.4365934744771753,120,4840,"[-0.2655890391349686, -1.0001791566428446, -1.0001791566428446, -1.0001791566428446, -1.0001791566428446, -1.0001791566428446, -1.0001791566428446, -1.0001791566428446, -1.0058318775976225, -1.0107281393725358, -1.0212149759053242, -1.0212149759053242, -1.0212149759053242, -1.0212149759053242, -1.0212149759053242, -1.0212149759053242, -1.0212149759053242, -1.025694222787785, -1.025694222787785, -1.025694222787785, -1.025694222787785, -1.025694222787785, -1.0281179013847437, -1.0291416174558483, -1.0291416174558483, -1.0291416174558483, -1.0291416174558483, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315838519207639, -1.0315929802767025, -1.0315929802767025, -1.0315929802767025, -1.0315929802767025, -1.0315929802767025, -1.0316167694885352, -1.0316167694885352, -1.0316167694885352, -1.0316170238245872, -1.0316170238245872, -1.0316170238245872, -1.0316223997387286, -1.031624210514786, -1.031624210514786, -1.0316278515896964, -1.0316278515896964, -1.0316283182891604, -1.0316283182891604, -1.0316283182891604, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316283610194374, -1.0316284238136153, -1.0316284238136153, -1.0316284238136153, -1.0316284238136153, -1.0316284238136153, -1.0316284238136153, -1.031628450502329, -1.031628450502329, -1.031628450502329, -1.031628450502329, -1.0316284517022347, -1.0316284517022347, -1.0316284517022347, -1.0316284517022347, -1.0316284517022347, -1.0316284517315355, -1.0316284517315355, -1.0316284517315355, -1.0316284517315355, -1.0316284533437958, -1.0316284533437958, -1.0316284533437958, -1.0316284533437958, -1.0316284534160651, -1.0316284534160651, -1.0316284534160651, -1.0316284534160651, -1.0316284534631914, -1.0316284534631914, -1.0316284534631914, -1.0316284534691487, -1.0316284534691487, -1.0316284534691487, -1.0316284534691487, -1.0316284534691487, -1.0316284534691487, -1.0316284534882862, -1.0316284534882862, -1.0316284534882862, -1.0316284534882862, -1.0316284534882862, -1.0316284534882862, -1.0316284534882862, -1.0316284534882862, -1.0316284534882862]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,4,2005,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.08984199003912455, -0.7126564194878863]",-1.0316284534898725,4.1960613175441654e-07,120,4840,"[0.006815211070632321, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0103818074517654, -1.0311592817698665, -1.0311592817698665, -1.0311592817698665, -1.0311592817698665, -1.0311592817698665, -1.0311592817698665, -1.0311592817698665, -1.0313730219922883, -1.0313730219922883, -1.0313730219922883, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316212504701243, -1.0316252417763483, -1.0316252417763483, -1.0316252417763483, -1.0316252417763483, -1.0316252417763483, -1.0316252417763483, -1.0316252417763483, -1.0316252417763483, -1.0316252417763483, -1.0316252417763483, -1.0316274213938994, -1.0316274213938994, -1.0316274213938994, -1.0316274213938994, -1.0316274213938994, -1.0316274213938994, -1.0316274213938994, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316282745849723, -1.0316284105297495, -1.0316284105297495, -1.0316284105297495, -1.0316284105297495, -1.0316284105297495, -1.0316284105297495, -1.0316284105297495, -1.0316284434533172, -1.0316284434533172, -1.0316284440406234, -1.0316284440406234, -1.0316284476773774, -1.0316284476773774, -1.0316284517772085, -1.0316284517772085, -1.0316284517772085, -1.0316284517772085, -1.031628452566202, -1.031628452689867, -1.031628452689867, -1.031628452689867, -1.0316284532183206, -1.0316284532183206, -1.0316284533990596, -1.0316284534830324, -1.0316284534830324, -1.0316284534830324, -1.0316284534830324, -1.0316284534830324, -1.0316284534830324, -1.0316284534830324, -1.0316284534830324, -1.0316284534887636, -1.0316284534887636, -1.0316284534887636, -1.0316284534887636, -1.0316284534887636, -1.0316284534887636, -1.0316284534887636, -1.0316284534897746, -1.0316284534897746, -1.0316284534897746, -1.0316284534898599, -1.0316284534898599, -1.0316284534898599, -1.0316284534898599, -1.0316284534898725, -1.0316284534898725, -1.0316284534898725, -1.0316284534898725]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,5,2006,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984170866255034, 0.7126558202822482]",-1.0316284534869125,1.4365931992721614,120,4840,"[-0.4208081707740152, -0.9620275636092754, -0.9620275636092754, -0.9716194218382, -0.9716194218382, -0.9716194218382, -0.9716194218382, -1.0107168076406094, -1.0107168076406094, -1.0107168076406094, -1.016357585083472, -1.0278284385641634, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.0309671256438264, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.031554623635213, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316148098119318, -1.0316169219002715, -1.0316169219002715, -1.0316169219002715, -1.0316169219002715, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.0316276947064935, -1.031627774018047, -1.031627774018047, -1.0316283255285783, -1.0316283255285783, -1.0316283255285783, -1.0316283255285783, -1.0316283255285783, -1.0316283255285783, -1.0316283255285783, -1.0316283255285783, -1.0316283362289378, -1.0316283486176183, -1.03162843869244, -1.0316284460379321, -1.0316284508523301, -1.0316284508523301, -1.0316284508523301, -1.0316284508523301, -1.0316284508523301, -1.0316284508523301, -1.0316284508523301, -1.0316284508523301, -1.0316284523351398, -1.0316284523351398, -1.0316284523351398, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125, -1.0316284534869125]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,6,2007,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.0898545796764816, 0.7126594725224518]",-1.0316284528356292,1.4365984327428893,120,4840,"[-0.6781690400363887, -0.6781690400363887, -0.6781690400363887, -0.6781690400363887, -0.6781690400363887, -1.001281187249273, -1.001281187249273, -1.001281187249273, -1.001281187249273, -1.001281187249273, -1.0303696626040821, -1.0303696626040821, -1.0303696626040821, -1.0303696626040821, -1.0303696626040821, -1.0303696626040821, -1.0303696626040821, -1.0303696626040821, -1.0303696626040821, -1.0303696626040821, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.031429326527442, -1.0315256671285549, -1.0315256671285549, -1.0315256671285549, -1.0315256671285549, -1.0315256671285549, -1.0315839216186995, -1.0315839216186995, -1.0315839216186995, -1.0315839216186995, -1.0315839216186995, -1.0315839216186995, -1.0315839216186995, -1.0315839216186995, -1.0315949979501684, -1.0315949979501684, -1.0316196723170503, -1.0316196723170503, -1.0316196723170503, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.0316282154337233, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628370296919, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.031628451018971, -1.0316284520336552, -1.0316284520336552, -1.0316284520336552, -1.0316284520336552, -1.0316284520336552, -1.0316284520336552, -1.0316284520336552, -1.0316284528356292, -1.0316284528356292, -1.0316284528356292, -1.0316284528356292, -1.0316284528356292, -1.0316284528356292, -1.0316284528356292, -1.0316284528356292]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,7,2008,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984201373752745, 0.7126564018940819]",-1.0316284534898774,1.4365938144743298,120,4840,"[-0.08053691978048605, -0.8385811925014597, -0.8385811925014597, -0.8399565642964969, -0.8399565642964969, -0.8399565642964969, -0.8399565642964969, -0.8399565642964969, -0.8942231473036809, -0.8942231473036809, -0.9934931516689156, -0.9934931516689156, -0.9934931516689156, -1.0098633226942586, -1.0105692780782363, -1.0105692780782363, -1.0271992983851528, -1.0271992983851528, -1.0271992983851528, -1.0306864030168656, -1.0306864030168656, -1.0306864030168656, -1.0306864030168656, -1.0306864030168656, -1.0306864030168656, -1.0307201662154306, -1.0307584222072559, -1.0307584222072559, -1.0307584222072559, -1.0307584222072559, -1.0314435172591179, -1.0314435172591179, -1.0315932194721142, -1.0315932194721142, -1.0315932194721142, -1.0315932194721142, -1.0316259292738896, -1.0316259292738896, -1.0316259292738896, -1.0316259292738896, -1.0316259292738896, -1.0316259292738896, -1.0316259292738896, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.031628452497378, -1.0316284526761474, -1.031628453069491, -1.0316284533235125, -1.0316284533696283, -1.0316284533696283, -1.0316284534097033, -1.0316284534097033, -1.0316284534097033, -1.0316284534097033, -1.0316284534623128, -1.0316284534623128, -1.0316284534623128, -1.0316284534623128, -1.0316284534623128, -1.031628453488273, -1.031628453488273, -1.031628453488273, -1.031628453488273, -1.031628453488273, -1.0316284534898228, -1.0316284534898228, -1.0316284534898228, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898597, -1.0316284534898745, -1.0316284534898745, -1.0316284534898745, -1.0316284534898745, -1.0316284534898745, -1.0316284534898745, -1.0316284534898745, -1.031628453489877, -1.031628453489877, -1.031628453489877, -1.0316284534898772, -1.0316284534898772, -1.0316284534898772, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774, -1.0316284534898774]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,8,2009,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.08984209723351283, -0.7126559645677629]",-1.0316284534882385,1.034881608562226e-07,120,4840,"[-0.6278244887411943, -0.6278244887411943, -0.8546437447898086, -0.8745326451756994, -0.8877384784373384, -0.8877384784373384, -1.020818659761081, -1.020818659761081, -1.020818659761081, -1.020818659761081, -1.020818659761081, -1.020818659761081, -1.02900110278871, -1.02900110278871, -1.0305210234738298, -1.0305210234738298, -1.0305210234738298, -1.0305210234738298, -1.031236175748058, -1.031236175748058, -1.031236175748058, -1.031236175748058, -1.031236175748058, -1.031236175748058, -1.031236175748058, -1.031236175748058, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.031599246215837, -1.0316050170562818, -1.0316050170562818, -1.0316050170562818, -1.0316239695770746, -1.0316239695770746, -1.0316239695770746, -1.0316239695770746, -1.0316239695770746, -1.0316239695770746, -1.0316239695770746, -1.0316260985024763, -1.0316260985024763, -1.0316260985024763, -1.0316260985024763, -1.0316260985024763, -1.0316260985024763, -1.0316260985024763, -1.0316260985024763, -1.0316271852687258, -1.031627584961444, -1.031627584961444, -1.031627584961444, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.0316284209146807, -1.031628448215442, -1.031628448215442, -1.031628448215442, -1.031628448215442, -1.031628448215442, -1.031628448215442, -1.031628448215442, -1.031628448215442, -1.031628448215442, -1.0316284509164162, -1.0316284509164162, -1.0316284509164162, -1.0316284509164162, -1.0316284509164162, -1.0316284509164162, -1.0316284509164162, -1.0316284509164162, -1.0316284509164162, -1.0316284509164162, -1.031628451497582, -1.031628451497582, -1.0316284515070784, -1.0316284521184076, -1.0316284533484714, -1.0316284533484714, -1.0316284533484714, -1.0316284533484714, -1.0316284533484714, -1.0316284533484714, -1.031628453396581, -1.031628453396581, -1.031628453396581, -1.0316284534856437, -1.0316284534856437, -1.0316284534856437, -1.0316284534882385, -1.0316284534882385]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,9,2010,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[0.0898419910554505, -0.7126564044750937]",-1.0316284534898754,4.0457398140652723e-07,120,4840,"[-0.9270776052913151, -0.9270776052913151, -0.9399383836163802, -0.9399383836163802, -0.9399383836163802, -0.9399383836163802, -0.9399383836163802, -0.9752278595194612, -1.0176307508363567, -1.0176307508363567, -1.0176307508363567, -1.0176307508363567, -1.0176307508363567, -1.0176307508363567, -1.0292517185300665, -1.0292517185300665, -1.0292517185300665, -1.0292517185300665, -1.030529058868066, -1.030529058868066, -1.030529058868066, -1.030529058868066, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0313908850093876, -1.0314528581059454, -1.0316049502458653, -1.0316199821058392, -1.0316199821058392, -1.0316199821058392, -1.0316199821058392, -1.0316199821058392, -1.0316199821058392, -1.0316199821058392, -1.0316199821058392, -1.0316199821058392, -1.031625729362913, -1.031625729362913, -1.031625729362913, -1.031625729362913, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316275747491463, -1.0316280284930583, -1.0316280284930583, -1.0316280284930583, -1.0316280284930583, -1.0316280284930583, -1.0316283506606887, -1.0316283506606887, -1.0316283506606887, -1.0316283506606887, -1.0316283506606887, -1.0316283506606887, -1.0316283506606887, -1.0316283506606887, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529092434, -1.0316284529924336, -1.0316284529924336, -1.0316284529924336, -1.0316284533337268, -1.0316284533337268, -1.0316284533337268, -1.0316284533613427, -1.031628453472899, -1.031628453472899, -1.031628453472899, -1.031628453472899, -1.0316284534730715, -1.0316284534730715, -1.0316284534794462, -1.0316284534794462, -1.0316284534844284, -1.0316284534844284, -1.031628453487353, -1.031628453488327, -1.0316284534893976, -1.0316284534894287, -1.0316284534894287, -1.0316284534894287, -1.031628453489846, -1.031628453489846, -1.031628453489846, -1.0316284534898605, -1.0316284534898605, -1.0316284534898605, -1.0316284534898605, -1.0316284534898754, -1.0316284534898754]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
six_hump_camel,Six-Hump Camel,10,2050,de,Evolucion diferencial,2,"[-3.0, 3.0]","[0.089842, -0.712656]","[-0.08984233618779154, 0.7126552168163395]",-1.0316284534775644,1.4365926790338732,120,4840,"[-0.21507967495526986, -0.21507967495526986, -0.21507967495526986, -0.8109021854406394, -0.8109021854406394, -0.8109021854406394, -0.8109021854406394, -1.0211424540480916, -1.0211424540480916, -1.0211424540480916, -1.0211424540480916, -1.0238529548720965, -1.0238529548720965, -1.0238529548720965, -1.0268638695333516, -1.0268638695333516, -1.0268638695333516, -1.0268638695333516, -1.0268638695333516, -1.0268638695333516, -1.0268638695333516, -1.027976678264106, -1.0283234210940118, -1.030580099858959, -1.030580099858959, -1.030580099858959, -1.030580099858959, -1.030580099858959, -1.0307672175887261, -1.0307672175887261, -1.0307672175887261, -1.0307672175887261, -1.0307672175887261, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315815074858763, -1.0315898461995934, -1.0315898461995934, -1.0315898461995934, -1.0316243037315416, -1.0316243037315416, -1.0316243037315416, -1.0316264798194894, -1.0316264798194894, -1.0316264798194894, -1.0316264798194894, -1.0316264798194894, -1.0316264798194894, -1.0316264798194894, -1.031627406309711, -1.031627406309711, -1.031627406309711, -1.0316279895696714, -1.0316279895696714, -1.0316279895696714, -1.0316279895696714, -1.0316279895696714, -1.0316279895696714, -1.0316279895696714, -1.0316279895696714, -1.031628201382698, -1.031628438153972, -1.031628438153972, -1.031628438153972, -1.031628441505408, -1.031628441505408, -1.031628441505408, -1.031628441505408, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284508048532, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284523069832, -1.0316284534743818, -1.0316284534743818, -1.0316284534743818, -1.0316284534743818, -1.0316284534743818, -1.0316284534743818, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644, -1.0316284534775644]","{""crossover_rate"": 0.7, ""max_iterations"": 120, ""mutation_factor"": 0.8, ""population_size"": 40}"
