indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,peso,distancia,tiempo(min),peajes(euros),gasolina(euros),costo_vendedor(euros)
0,39,Bourg-en-Bresse,Lons-le-Saunier,32.459667,74.0,59.0,5.3,15.34,11.819667
0,69,Bourg-en-Bresse,Lyon,41.063,84.0,69.0,9.3,17.94,13.823
0,71,Bourg-en-Bresse,Mâcon,41.063,84.0,69.0,9.3,17.94,13.823
0,74,Bourg-en-Bresse,Annecy,41.063,84.0,69.0,9.3,17.94,13.823
1,7,Laon,Charleville-Mézières,46.954,112.0,102.0,0.0,26.52,20.434
1,51,Laon,Châlons-en-Champagne,46.026667,115.0,80.0,9.2,20.8,16.026667
1,59,Laon,Lille,59.435,159.0,105.0,11.1,27.3,21.035
1,60,Laon,Beauvais,51.557333,135.0,112.0,0.0,29.12,22.437333
1,62,Laon,Arras,49.788667,131.0,86.0,10.2,22.36,17.228667
1,77,Laon,Melun,67.303667,177.0,131.0,7.0,34.06,26.243667
1,80,Laon,Amiens,50.93,127.0,90.0,9.5,23.4,18.03
1,93,Laon,Bobigny,44.652333,128.0,97.0,0.0,25.22,19.432333
1,95,Laon,Cergy,52.938333,157.0,115.0,0.0,29.9,23.038333
2,17,Moulins,Bourges,41.43,101.0,90.0,0.0,23.4,18.03
2,23,Moulins,Guéret,48.031667,146.0,95.0,4.3,24.7,19.031667
2,58,Moulins,Nevers,23.477,57.0,51.0,0.0,13.26,10.217
2,63,Moulins,Clermont-Ferrand,15.191,19.0,33.0,0.0,8.58,6.611
2,69,Moulins,Lyon,74.65,193.0,150.0,5.6,39.0,30.05
2,71,Moulins,Mâcon,48.773,144.0,99.0,3.2,25.74,19.833
3,4,Digne-les-Bains,Gap,38.564667,87.0,74.0,4.5,19.24,14.824667
3,5,Digne-les-Bains,Nice,70.05,148.0,150.0,1.0,39.0,30.05
3,83,Digne-les-Bains,Toulon,75.541667,193.0,125.0,18.0,32.5,25.041667
3,84,Digne-les-Bains,Avignon,73.981333,194.0,124.0,16.9,32.24,24.841333
4,5,Gap,Nice,126.785667,327.0,197.0,36.1,51.22,39.465667
4,6,Gap,Privas,82.86,168.0,180.0,0.0,46.8,36.06
4,26,Gap,Valence,86.794667,193.0,164.0,11.3,42.64,32.854667
4,38,Gap,Grenoble,53.398667,111.0,116.0,0.0,30.16,23.238667
4,84,Gap,Avignon,88.527667,236.0,143.0,22.7,37.18,28.647667
5,19,Nice,Ajaccio,188.276333,258.0,409.0,0.0,106.34,81.936333
5,20,Nice,Bastia,219.296333,398.0,469.0,3.4,121.94,93.956333
5,83,Nice,Toulon,62.212667,150.0,98.0,17.1,25.48,19.632667
6,26,Privas,Valence,23.796,42.0,48.0,1.7,12.48,9.616
6,42,Privas,Saint-Étienne,66.298667,162.0,116.0,12.9,30.16,23.238667
6,43,Privas,Le Puy-en-Velay,49.716,94.0,108.0,0.0,28.08,21.636
6,48,Privas,Mende,67.669,137.0,147.0,0.0,38.22,29.449
6,84,Privas,Avignon,49.988667,123.0,86.0,10.4,22.36,17.228667
7,51,Charleville-Mézières,Châlons-en-Champagne,40.287,128.0,81.0,3.0,21.06,16.227
7,55,Charleville-Mézières,Bar-le-Duc,61.502,190.0,126.0,3.5,32.76,25.242
7,57,Charleville-Mézières,Metz,63.065667,203.0,137.0,0.0,35.62,27.445667
7,59,Charleville-Mézières,Lille,69.970667,220.0,152.0,0.0,39.52,30.450667
8,10,Foix,Carcassonne,44.045667,124.0,77.0,8.6,20.02,15.425667
8,31,Foix,Toulouse,34.740667,89.0,62.0,6.2,16.12,12.420667
8,65,Foix,Tarbes,64.260667,154.0,122.0,8.1,31.72,24.440667
8,66,Foix,Perpignan,81.784667,235.0,134.0,20.1,34.84,26.844667
9,51,Troyes,Châlons-en-Champagne,81.784667,235.0,134.0,20.1,34.84,26.844667
9,52,Troyes,Chaumont,81.784667,235.0,134.0,20.1,34.84,26.844667
9,55,Troyes,Bar-le-Duc,37.482,103.0,66.0,7.1,17.16,13.222
9,77,Troyes,Melun,46.947333,124.0,82.0,9.2,21.32,16.427333
9,89,Troyes,Auxerre,39.128333,76.0,85.0,0.0,22.1,17.028333
10,31,Carcassonne,Toulouse,39.682,95.0,66.0,9.3,17.16,13.222
10,34,Carcassonne,Montpellier,63.793667,157.0,101.0,17.3,26.26,20.233667
10,66,Carcassonne,Perpignan,45.504333,114.0,73.0,11.9,18.98,14.624333
10,81,Carcassonne,Albi,45.504333,114.0,73.0,11.9,18.98,14.624333
11,14,Rodez,Aurillac,25.318333,72.0,55.0,0.0,14.3,11.018333
11,34,Rodez,Montpellier,47.414333,103.0,103.0,0.0,26.78,20.634333
11,46,Rodez,Cahors,47.414333,103.0,103.0,0.0,26.78,20.634333
11,48,Rodez,Mende,41.43,108.0,90.0,0.0,23.4,18.03
11,81,Rodez,Albi,41.43,108.0,90.0,0.0,23.4,18.03
11,82,Rodez,Montauban,51.097,150.0,111.0,0.0,28.86,22.237
12,30,Marseille,Nîmes,51.097,150.0,111.0,0.0,28.86,22.237
12,83,Marseille,Toulon,51.097,150.0,111.0,0.0,28.86,22.237
12,84,Marseille,Avignon,30.518333,64.0,55.0,5.2,14.3,11.018333
13,27,Caen,Évreux,57.552333,155.0,97.0,12.9,25.22,19.432333
13,50,Caen,Saint-Lô,25.318333,75.0,55.0,0.0,14.3,11.018333
13,61,Caen,Alençon,25.318333,75.0,55.0,0.0,14.3,11.018333
13,76,Caen,Rouen,25.318333,75.0,55.0,0.0,14.3,11.018333
14,18,Aurillac,Tulle,35.906,83.0,78.0,0.0,20.28,15.626
14,43,Aurillac,Le Puy-en-Velay,71.351667,172.0,155.0,0.0,40.3,31.051667
14,46,Aurillac,Cahors,60.764,136.0,132.0,0.0,34.32,26.444
14,48,Aurillac,Mende,60.764,151.0,132.0,0.0,34.32,26.444
14,63,Aurillac,Clermont-Ferrand,67.669,171.0,147.0,0.0,38.22,29.449
15,16,Angoulême,La Rochelle,59.379667,155.0,119.0,4.6,30.94,23.839667
15,24,Angoulême,Périgueux,40.049,87.0,87.0,0.0,22.62,17.429
15,33,Angoulême,Bordeaux,44.192,123.0,96.0,0.0,24.96,19.232
15,79,Angoulême,Niort,45.112667,119.0,98.0,0.0,25.48,19.632667
15,86,Angoulême,Poitiers,40.509333,116.0,88.0,0.0,22.88,17.629333
15,87,Angoulême,Limoges,39.128333,109.0,85.0,0.0,22.1,17.028333
16,33,La Rochelle,Bordeaux,74.660667,189.0,122.0,18.5,31.72,24.440667
16,79,La Rochelle,Niort,25.778667,66.0,56.0,0.0,14.56,11.218667
