Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Bourg-en-Bresse,inf,222.440001,89.83600000000001,186.296001,147.731334,256.346001,136.362667,210.295334,283.272667,162.117333,266.55766600000004,179.623333,200.93899900000002,298.62300000000005,169.03566700000002,206.457333,260.392334,131.26600000000002,164.74133300000003,444.622334,475.642334,70.462334,321.322334,137.867667,210.16800000000003,67.90533400000001,118.192333,254.00633400000004,218.56066700000002,354.926668,195.737333,248.532,269.848666,250.649333,218.281333,290.480001,167.61,197.22166700000002,94.332667,32.459667,311.420666,180.77700000000002,70.06400000000001,97.68400000000001,283.387334,180.77700000000002,227.037666,265.900666,138.193333,245.36733400000003,323.94133300000004,176.413334,111.506334,276.670001,148.463668,148.793334,324.817334,162.27366800000001,113.31300000000002,280.266001,255.396333,273.30466700000005,272.22866799999997,105.02700000000002,329.390333,305.294333,281.71466599999997,169.977,143.277667,41.063,89.54100100000001,41.063,245.36733400000003,68.759,41.063,199.078666,280.804001,170.998333,206.904333,234.613667,273.370001,221.053333,230.720333,252.03599900000003,170.420666,272.297334,199.552334,167.329,119.46266800000001,122.989,114.859334,183.427333,220.714333,206.904333,191.713333,226.698666
Laon,222.440001,inf,188.506,402.643334,364.078667,472.693334,304.970333,46.954,400.333667,111.12866700000001,383.61866599999996,296.684333,385.477333,119.19566599999999,271.366,277.747667,292.169332,180.451334,263.411333,660.969667,691.989667,151.977667,200.67466599999997,236.537667,308.838,177.22166700000002,308.198333,89.542666,119.55599899999999,250.39066599999998,365.273999,365.59299999999996,386.90966599999996,321.939667,344.098666,187.78533199999998,203.828334,189.092667,310.68,189.980334,382.711,159.636334,260.07,255.254333,228.29466499999998,130.940334,332.13,366.84000000000003,295.763666,202.71433199999998,144.51399899999998,46.026667,110.93366700000001,183.881999,107.251,73.64666700000001,226.91366499999998,110.019667,165.029,59.435,51.557333,134.194999,49.788667,203.697,434.217,422.355333,407.531999,165.11,185.96800000000002,231.65733300000002,155.586,199.41833300000002,162.132332,285.106333,263.503001,62.144999999999996,93.877333,67.303667,78.411999,272.299667,50.93,338.114333,347.78133299999996,436.57433299999997,354.959,253.32199899999998,237.238334,265.999,136.252,115.313,172.618333,79.732667,60.303666,44.652333,59.843333,52.938333
Moulins,89.83600000000001,188.506,inf,237.889,199.32433300000002,307.939,116.46433300000001,211.30533300000002,211.827667,112.321333,195.112666,108.178333,196.97133300000002,208.787,82.86,116.62133299999999,170.556334,41.43,74.905333,496.215333,520.489666,102.194,231.486334,48.031667,120.332,122.961,119.69233299999999,164.17033400000003,128.724667,265.090668,176.767999,177.087,198.403666,160.813333,155.592666,200.644001,77.774,107.38566700000001,153.672667,87.515333,221.584666,90.941,71.564,66.748333,193.55133400000003,90.941,143.624,178.334,107.257666,155.53133400000002,234.105333,177.423333,143.238,186.834001,183.407666,149.803333,234.98133400000003,198.49366600000002,23.477,247.941,205.600333,183.468667,238.294667,15.191,257.945333,233.849333,219.025999,225.03266599999998,198.33333299999998,74.65,144.596667,48.773,155.53133400000002,128.099,130.899,149.282666,190.96800100000002,121.202333,157.108333,144.77766699999998,225.310333,149.608333,159.275333,248.06833300000002,166.453,182.46133399999997,109.71633399999999,77.493,174.51833399999998,73.193,169.915,133.63133299999998,170.91833300000002,157.108333,141.91733299999999,176.902666
Digne-les-Bains,186.296001,402.643334,237.889,inf,38.564667,70.05,121.424667,396.59133499999996,233.093667,326.458667,189.048,172.668666,104.499666,446.67600000000004,197.986999,303.403332,362.78299899999996,279.319,233.892999,258.326333,289.346333,256.758335,458.07533199999995,285.920667,271.640332,254.20133499999997,125.359334,402.05933400000004,366.613667,484.12499899999995,99.298,228.73000000000002,259.112,312.37599900000004,125.254333,427.23299899999995,315.663,345.274667,91.963334,218.755668,304.685,328.83000000000004,173.487667,171.140667,405.86833199999995,328.83000000000004,220.082999,258.94599900000003,168.808333,382.12033199999996,469.58366599999994,362.70933499999995,297.80233499999997,413.42299899999995,334.759669,335.08933499999995,447.29833199999996,348.569669,261.366,462.078334,419.737667,421.35766700000005,452.43200099999996,222.698,309.68,285.584,188.687666,356.273001,329.573668,170.986001,275.837002,203.225001,393.420334,117.537001,145.233001,363.41999999999996,428.857001,335.33966699999996,371.2456669999999,348.51599899999997,439.44766699999997,214.098666,223.765666,75.541667,73.981333,386.199666,322.737332,264.274999,305.758669,287.330334,301.155335,347.76866699999994,385.05566699999997,371.2456669999999,356.05466699999994,391.03999999999996
Gap,147.731334,364.078667,199.324333,38.564667,inf,108.614667,82.86,358.026668,247.64000099999998,287.894,203.59433399999998,187.21499999999997,119.04599999999999,408.11133300000006,203.92766699999999,309.344,368.723667,240.754333,239.833667,296.89099999999996,327.911,218.193668,430.810667,247.356,285.260334,215.636668,86.794667,363.494667,328.049,464.415001,113.84433399999999,243.27633399999996,273.65833399999997,326.922333,139.80066699999998,399.968334,277.098333,306.71000000000004,53.398667,180.191001,319.23133399999995,290.265333,134.923,132.576,392.875667,290.265333,234.62933299999997,273.492333,150.529,354.85566700000004,433.42966600000005,324.14466799999997,259.237668,386.158334,296.195002,296.52466799999996,434.305667,310.005002,222.801333,423.513667,381.173,382.79300000000006,413.86733399999997,184.133333,324.22633399999995,300.13033399999995,203.23399999999998,317.70833400000004,291.009001,132.421334,237.272335,164.660334,354.85566700000004,78.972334,106.668334,324.855333,390.292334,296.775,332.6809999999999,344.102,400.883,228.64499999999998,238.31199999999998,114.106334,88.527667,381.785667,309.040667,270.215667,267.194002,248.765667,262.590668,309.20399999999995,346.491,332.6809999999999,317.48999999999995,352.475333
Nice,256.346001,472.69333399999994,307.939,70.05,108.614667,inf,191.474667,466.641335,298.202334,396.50866699999995,254.156667,237.777333,113.309667,516.7260000000001,263.095666,368.511999,427.891666,349.369,299.001666,188.276333,219.296333,326.80833500000006,523.183999,351.479666,336.748999,324.25133500000004,195.409334,472.10933400000005,436.66366700000003,549.233666,164.406667,293.838667,324.220667,377.484666,190.363,492.341666,385.713,415.32466700000003,162.013334,288.805668,369.79366699999997,398.88000000000005,243.537667,241.19066700000002,470.976999,398.88000000000005,285.191666,324.054666,233.917,447.228999,534.692333,432.759335,367.85233500000004,478.531666,404.80966900000004,405.139335,512.4069989999999,418.61966900000004,331.416,532.128334,489.78766699999994,491.40766700000006,522.482001,292.74800000000005,374.788667,350.692667,253.796333,426.3230010000001,399.62366800000007,241.036001,345.88700200000005,273.275001,463.47033400000004,187.587001,215.28300099999998,433.4699999999999,498.90700100000004,405.3896669999999,441.29566699999987,413.624666,509.4976669999999,279.207333,288.874333,62.212667,143.828,451.308333,387.845999,329.383666,375.80866900000007,357.38033399999995,371.20533500000005,417.8186669999999,455.1056669999999,441.29566699999987,426.1046669999999,461.0899999999999
Privas,136.362667,304.97033300000004,116.46433300000001,121.424667,82.86,191.474667,inf,327.76966600000003,209.10100100000002,228.78566600000002,165.05533400000002,109.09899999999999,80.507,325.25133300000005,121.067667,226.484,285.863667,157.89433300000002,156.973667,379.751,404.02533300000005,204.283667,347.950667,164.496,202.40033400000002,201.72666700000002,23.796,280.63466700000004,245.18900000000002,381.555001,75.305334,178.007667,199.324333,248.806333,101.261667,317.108334,194.238333,223.85000000000002,62.716,166.281,243.549333,207.405333,66.298667,49.716,310.015667,207.405333,156.513333,195.376333,67.669,271.995667,350.56966600000004,293.887666,245.32766700000002,303.298334,282.285001,266.267666,351.445667,296.095001,139.94133300000001,364.40533300000004,322.06466600000005,299.93300000000005,354.759,101.27333300000001,258.866,234.76999999999998,164.695,303.79833300000007,277.09900000000005,95.299667,223.36233400000003,127.538667,271.995667,88.28966700000001,115.985667,265.746999,307.432334,237.66666600000002,273.572666,261.242,341.774666,150.529,160.196,131.604,49.988667,298.92566700000003,226.180667,187.355667,253.28400100000005,189.65733300000002,248.68066700000003,250.09566600000002,287.38266600000003,273.57266599999997,258.381666,293.366999
Charleville-Mézières,210.295334,46.954,211.30533300000002,396.591335,358.02666800000003,466.641335,327.76966600000003,inf,423.13300000000004,98.98400000000001,406.417999,319.483666,408.27666600000003,166.149666,294.16533300000003,324.70166700000004,339.123332,204.457333,286.210666,654.917668,685.937668,139.833,247.62866599999998,259.337,331.637333,157.43400100000002,325.946333,136.496666,166.509999,297.34466599999996,388.073332,388.392333,409.708999,368.89366700000005,366.897999,234.739332,240.801333,236.046667,304.62800100000004,177.835667,429.6650000000001,206.590334,277.818,278.053666,275.24866499999996,177.89433400000001,354.92933300000004,389.639333,318.562999,249.668332,191.467999,40.287,98.789,230.83599900000002,84.701334,61.502,273.867665,63.065667,187.82833300000001,69.970667,98.51133300000001,181.148999,92.06666700000001,226.49633300000002,469.250666,445.154666,430.33133200000003,123.838667,150.538,248.817,135.798334,216.578,209.086332,279.05433400000004,251.358334,109.099,140.831333,114.257667,125.365999,319.253667,97.884,360.91366600000003,370.580666,459.373666,377.75833300000005,300.275999,284.192334,288.798333,105.876667,138.112333,142.243,126.686667,107.257666,91.606333,106.79733300000001,99.89233300000001
Foix,283.272667,400.333667,211.827667,233.093667,247.64000099999998,298.202334,209.101001,423.133,inf,324.149,44.045667,103.64933400000001,184.89266700000002,370.036666,128.967667,179.980333,223.76800000000003,253.257667,164.873667,486.478667,508.41100000000006,314.021667,353.79699899999997,215.425999,139.931333,334.788667,211.340667,375.998001,340.552334,360.702,133.795667,34.740667,65.122667,149.107333,107.83933400000001,322.954666,252.25266599999998,268.635333,250.260667,299.34299999999996,110.69566700000001,296.444666,213.20866700000002,185.58866700000002,282.445333,302.768667,88.374,95.677333,145.07933400000002,279.872666,366.225999,389.251,355.06566699999996,311.17533299999997,395.23533299999997,361.631,323.875333,410.321333,235.304667,459.768667,417.428,344.71833300000003,450.12233399999997,196.636667,88.356667,64.260667,81.784667,436.860333,410.161,242.20966700000002,356.424334,260.600667,316.781,275.834334,303.53033400000004,361.11033299999997,395.354999,333.03,368.9359999999999,225.09300000000002,437.138,62.219334,60.497,235.98966700000003,159.112334,262.615333,220.489666,185.964666,386.346001,285.020667,381.742667,345.45899999999995,382.746,368.9359999999999,353.74499999999995,388.730333
Troyes,162.117333,111.12866700000001,112.32133300000001,326.458667,287.894,396.508667,228.78566600000002,98.98400000000001,324.149,inf,307.433999,220.499666,309.292666,191.367999,195.181333,228.942666,259.73866599999997,105.473333,187.22666600000002,584.785,615.8050000000001,96.542666,272.846999,160.353,232.65333300000003,138.146999,232.013666,139.251999,123.997333,312.25699999999995,289.089332,289.40833299999997,310.72499899999997,273.134666,267.913999,247.81033299999996,141.817333,168.736333,234.49533300000002,129.657666,333.90599899999995,139.28,183.885333,179.069666,254.54833299999999,110.584,255.945333,290.65533300000004,219.578999,216.52833299999998,216.686332,65.102,74.769,215.22833299999996,71.086333,37.482,286.93866599999996,86.17233300000001,88.844333,168.95466700000003,131.345333,183.904332,160.917334,127.51233300000001,370.266666,346.170666,331.347332,128.945333,149.803333,155.472666,119.421333,123.233666,175.94633299999998,208.92166600000002,203.18033300000002,75.027666,166.049666,46.947333,82.853333,233.95999899999998,151.055333,261.929666,271.59666599999997,360.389666,278.774333,267.13599999999997,198.898666,189.814333,100.087333,39.128333,136.453666,59.376333,96.663333,82.853333,67.662333,102.647666
