Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Bourg-en-Bresse,0.0,109.19999999999999,43.68,90.47999999999999,71.24,129.48,64.48,105.56,150.28,75.91999999999999,138.57999999999998,96.19999999999999,92.82000000000001,142.74,90.22,107.12,134.42,67.08,79.03999999999999,235.82,251.42,33.019999999999996,157.82,68.38,99.83999999999999,35.36,56.42,129.74,109.72,176.8,91.52000000000001,134.16,147.16,132.08,110.24,140.4,85.8,94.9,41.08,15.34,156.52,91.25999999999999,34.32,49.92,130.52,91.25999999999999,122.97999999999999,140.92,72.8,114.92,157.04000000000002,88.39999999999999,51.739999999999995,132.6,80.85999999999999,72.8,153.92000000000002,88.66,56.94,145.08,121.93999999999998,128.44,131.56,52.26,179.66,167.18,136.24,91.25999999999999,76.17999999999999,17.94,47.58,17.94,114.92,30.42,17.94,92.55999999999999,143.52,76.69999999999999,96.97999999999999,119.86,132.6,119.6,125.05999999999999,121.68,78.52000000000001,138.32,103.22,85.02,64.47999999999999,53.81999999999999,61.879999999999995,83.71999999999998,104.77999999999999,96.97999999999999,88.39999999999999,108.15999999999998
Laon,109.19999999999999,0.0,98.28,189.8,170.56,228.8,164.06,26.52,213.46,53.56,201.76,159.38,200.72000000000003,59.019999999999996,145.07999999999998,130.78,147.67999999999998,86.84,133.64,335.14,350.74,76.17999999999999,105.03999999999999,122.98,154.44,94.89999999999999,154.7,48.879999999999995,59.28,133.12,198.11999999999998,197.34,210.34,155.74,186.16,97.75999999999999,100.1,87.88,140.4,93.85999999999999,180.18,75.14,132.6,135.98,120.63999999999999,62.66,179.39999999999998,187.2,158.85999999999999,104.77999999999999,73.32,20.8,57.459999999999994,95.16,55.379999999999995,36.4,119.85999999999999,62.14,85.02,27.3,29.12,74.1,22.36,106.86,200.46,230.36,212.16,85.8,99.83999999999999,107.12,82.67999999999999,92.3,87.61999999999999,129.74,127.13999999999999,35.1,44.72,34.06,40.56,124.53999999999999,23.4,182.78,188.24,229.58000000000004,186.42000000000002,126.35999999999999,107.89999999999999,139.62,71.75999999999999,56.94,92.29999999999998,41.08,34.06,25.22,33.8,29.9
Moulins,43.68,98.28,0.0,131.82,112.58,170.82,65.78,113.35999999999999,115.18,63.44,103.48,61.099999999999994,102.44,99.05999999999999,46.8,63.440000000000005,90.74000000000001,23.4,35.36,277.15999999999997,272.74,57.72,114.14,24.7,56.16,63.17999999999999,56.42,86.05999999999999,66.03999999999999,133.12,99.84,99.06,112.06,88.4,87.88,96.72,42.12,51.22,72.28,43.16,112.84,47.58,34.32,37.7,86.83999999999999,47.58,81.12,88.91999999999999,60.58,71.24,113.35999999999999,96.19999999999999,76.44,88.91999999999999,99.58,80.6,110.23999999999998,104.25999999999999,13.26,125.58,109.46,84.75999999999999,120.64,8.58,144.56,132.08,113.88,119.07999999999998,103.99999999999999,39.0,75.39999999999999,25.74,71.24,61.620000000000005,61.620000000000005,80.08,99.83999999999999,64.22,84.5,76.18,117.25999999999999,84.5,89.96,131.3,88.14,94.64000000000001,59.540000000000006,41.34,92.29999999999998,41.339999999999996,89.69999999999999,71.24,92.3,84.5,75.92,95.67999999999999
Digne-les-Bains,90.48,189.8,131.82,0.0,19.24,39.0,66.03999999999999,196.04,104.26,154.96,84.24000000000001,84.76,46.540000000000006,230.88000000000002,99.06,158.6,189.54,155.22,119.34,145.34,160.94,123.5,245.95999999999998,156.51999999999998,140.66,125.84,61.879999999999995,217.88000000000002,197.86,253.5,45.24,101.4,118.56,152.88000000000002,57.980000000000004,228.54,173.94,183.04,49.4,105.82000000000001,144.3,179.4,83.97999999999999,94.11999999999999,209.29999999999998,179.4,111.54,129.48000000000002,84.5,203.06,252.46,178.88,142.22,220.74,171.34,163.28,232.7,179.14000000000001,145.07999999999998,217.10000000000002,200.98000000000002,216.58,212.16000000000003,123.24,140.4,127.92,83.98,181.74000000000004,166.66000000000003,82.68,138.06,97.5,203.06,60.06,72.54,171.60000000000002,231.66000000000003,155.74,176.02,184.07999999999998,208.78000000000003,108.16,113.62,32.5,32.24,202.54,169.52,136.5,154.96,132.86,152.36,162.76000000000002,183.82000000000002,176.02,167.44,187.20000000000002
Gap,71.24,170.56,112.58,19.24,0.0,58.239999999999995,46.8,176.79999999999998,109.2,135.72,89.18,89.7,51.480000000000004,211.64000000000001,115.17999999999999,174.71999999999997,205.65999999999997,135.98,135.45999999999998,164.57999999999998,180.18,104.25999999999999,226.71999999999997,137.28,156.26,106.6,42.64,198.64000000000001,178.62,245.7,50.18,106.34,123.5,157.82000000000002,62.92,209.29999999999998,154.7,163.79999999999998,30.16,86.58,149.24,160.16,64.74000000000001,74.88,199.42,160.16,116.48,134.42000000000002,85.02,183.82,225.94000000000003,159.64,122.97999999999999,201.5,152.1,144.04,222.82,159.9,125.84,197.86,181.74,197.34,192.92000000000002,104.0,145.34,132.86,88.92,162.50000000000003,147.42000000000002,63.44,118.82,78.25999999999999,183.82,40.82,53.3,152.36,212.42000000000002,136.5,156.78,188.76,189.54000000000002,113.1,118.56,51.739999999999995,37.18,207.22,172.12,152.61999999999998,135.72,113.61999999999999,133.12,143.52,164.58,156.78,148.2,167.96
Nice,129.48,228.8,170.82000000000002,39.0,58.239999999999995,0.0,105.03999999999999,235.04,142.22,193.96,122.2,122.72,54.34,269.88000000000005,137.02,196.56,227.5,194.22000000000003,157.3,106.34,121.94,162.5,283.92,186.94,178.62,164.84,100.88,256.88000000000005,236.86000000000004,291.46,83.2,139.36,156.52,190.84,95.94,266.5,212.94000000000003,222.04000000000002,88.39999999999999,144.82,182.26000000000002,218.40000000000003,122.97999999999999,133.12,247.26,218.40000000000003,149.5,167.44,122.46000000000001,241.02,290.41999999999996,217.88,181.22,258.7,210.34,202.28,270.65999999999997,218.14000000000001,184.08,256.1,239.98000000000002,255.58000000000004,251.16000000000003,162.24,178.36,165.88000000000002,121.94,220.74000000000004,205.66000000000003,121.67999999999999,177.06,136.5,242.06000000000003,99.05999999999999,111.53999999999999,210.60000000000002,270.66,194.74,215.02,222.04,247.78000000000003,146.12,151.57999999999998,25.48,68.64,240.5,207.48000000000002,174.46,193.96,171.86,191.36,201.76000000000002,222.82000000000002,215.02,206.44,226.20000000000002
Privas,64.48,164.06,65.78,66.03999999999999,46.8,105.03999999999999,0.0,179.14,94.38,129.22,74.36,61.62,36.66,164.84000000000003,68.38,127.91999999999999,158.85999999999999,89.18,88.66,211.38,206.95999999999998,96.46000000000001,179.92000000000002,90.48,109.46,98.8,12.48,151.84000000000003,131.82000000000002,198.9,35.36,99.58,112.57999999999998,129.73999999999998,48.1,162.5,107.9,117.0,28.08,78.78,132.07999999999998,113.36000000000001,30.16,28.08,152.62,113.36000000000001,88.4,106.33999999999999,38.22,137.02,179.14000000000004,161.98,115.18,154.70000000000002,144.29999999999998,146.38,176.02,152.1,79.04,191.36,175.24,150.54000000000002,186.42000000000002,57.2,145.07999999999998,132.6,74.1,154.70000000000002,139.62,46.54,111.02,61.36,137.02,38.739999999999995,51.22,145.86,165.62000000000003,130.0,150.28,141.96,183.04000000000002,85.02,90.47999999999999,65.52,22.36,160.42000000000002,125.32000000000001,105.82,127.91999999999999,107.12,125.32,137.02,158.08,150.28,141.7,161.46
Charleville-Mézières,105.56,26.52,113.36000000000001,196.04,176.79999999999998,235.04,179.14,0.0,228.54000000000005,49.92,216.84000000000003,174.46000000000004,215.8,85.54,160.16000000000003,157.29999999999998,174.2,107.12,148.72000000000003,341.38,356.98,72.53999999999999,131.56,138.06,169.52000000000004,88.91999999999999,160.94,75.4,85.8,159.64,213.2,212.42000000000004,225.42000000000004,182.26,201.24000000000004,124.28,125.84,114.39999999999999,146.64,90.22,206.7,101.66,138.84,151.06,147.16,89.17999999999999,194.48000000000002,202.28000000000003,173.94,131.3,99.84,21.06,53.81999999999999,121.68,47.839999999999996,32.76,146.38,35.62,100.10000000000001,39.52,55.64,100.62,52.0,121.94000000000001,257.9200000000001,245.44000000000005,227.24000000000004,61.36,76.44,122.46000000000001,76.69999999999999,107.64,114.14,135.98,123.5,61.62,71.24000000000001,60.58,67.08,151.06,49.92,197.86000000000004,203.32000000000005,244.66000000000003,201.5,152.88,134.42,154.7,59.8,72.02000000000001,80.34,67.6,60.58,51.739999999999995,60.31999999999999,56.42
Foix,150.27999999999997,213.45999999999998,115.17999999999999,104.26000000000002,109.20000000000002,142.22,94.38000000000001,228.53999999999996,0.0,178.61999999999998,20.02,54.08,87.88,184.60000000000002,68.38,93.86,99.84,138.57999999999998,88.66,248.56,258.18,172.9,184.86,113.88,71.24,178.35999999999999,94.12,201.24,181.22,188.76000000000002,59.02,16.12,33.28,68.12,46.28,167.44,134.68,136.76,109.72,158.33999999999997,59.019999999999996,159.64000000000001,115.95999999999998,100.35999999999999,144.56,162.76,42.12,44.72,77.47999999999999,150.28,191.88,211.37999999999997,191.62,167.96,214.75999999999996,195.77999999999997,167.96,219.43999999999997,128.44,240.76,224.64,170.3,235.82,106.6,44.2,31.72,34.84,234.26000000000002,219.18,132.33999999999997,190.57999999999998,140.92,156.78,120.38,132.85999999999999,195.26,198.90000000000003,179.39999999999998,199.67999999999998,119.34,232.44,30.68,28.86,116.74,72.02000000000001,121.16,116.74,97.24,207.48,156.51999999999998,204.88,186.42,207.48,199.67999999999998,191.09999999999997,210.85999999999999
Troyes,75.92,53.56,63.44,154.96,135.72,193.96,129.22,49.92,178.62,0.0,166.92,124.53999999999999,165.88,99.84,110.24,126.88,139.35999999999999,57.2,98.8,300.3,315.9,48.88,145.86,88.14,119.6,67.86,119.85999999999999,71.76,60.32,153.66,163.28,162.5,175.49999999999997,151.84,151.32,117.25999999999999,75.92,75.14,105.56,60.58,176.28,62.400000000000006,97.75999999999999,101.14,115.69999999999999,49.92,144.56,152.35999999999999,124.02,100.1,114.14,32.76,38.22,100.1,36.14,17.16,139.35999999999999,40.82,50.18,89.44,66.56,96.98,75.92,72.02,207.99999999999997,195.51999999999998,177.32,66.56,80.6,72.28,63.44,57.46,82.94,94.9,93.86,37.18,85.54,21.32,41.6,124.8,74.36,147.94,153.39999999999998,194.74,151.57999999999998,121.67999999999999,108.16,104.78,52.519999999999996,22.1,73.06,28.34,49.4,41.599999999999994,33.019999999999996,52.78
