Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Bourg-en-Bresse,0.0,29.099999999999998,12.5,26.1,21.6,27.1,22.200000000000003,23.4,17.2,27.7,21.200000000000003,9.3,36.6,45.9,9.3,16.8,22.4,12.5,24.8,27.1,30.5,12.0,41.9,16.8,33.4,5.3,18.3,24.299999999999997,24.299999999999997,41.9,33.699999999999996,11.0,9.3,16.8,23.1,41.9,15.7,29.2,21.6,5.3,34.3,19.2,9.3,9.3,52.3,19.2,9.3,16.4,9.3,41.9,45.9,19.9,19.9,41.9,5.3,19.9,52.3,5.3,12.5,23.4,39.5,45.9,39.3,12.5,11.3,9.3,40.5,8.4,8.4,9.3,5.3,9.3,41.9,14.9,9.3,35.2,26.699999999999996,35.2,35.2,22.4,38.599999999999994,9.3,9.3,36.6,31.4,27.4,16.8,16.8,5.3,27.7,5.3,35.2,35.2,35.2,35.2,35.2
Laon,29.1,0.0,14.5,66.6,62.1,67.6,14.5,0.0,22.4,16.299999999999997,26.4,14.5,30.099999999999998,14.7,14.5,46.2,30.700000000000003,26.7,26.8,67.6,71.0,17.1,14.7,18.8,35.4,9.2,34.3,3.0,14.6,14.7,14.5,16.2,14.5,46.2,14.5,14.7,26.6,33.5,62.1,23.8,63.7,26.6,25.3,14.5,14.7,20.0,14.5,35.4,14.5,17.2,14.7,9.2,9.2,15.4,9.2,9.2,14.7,0.0,14.5,11.1,0.0,3.0,10.2,14.5,79.3,14.5,31.9,13.2,9.2,42.0,9.2,36.0,7.0,55.4,38.400000000000006,0.0,14.7,7.0,6.6,51.800000000000004,9.5,14.5,14.5,30.099999999999998,24.9,29.6,46.2,18.8,9.2,14.5,9.2,7.0,0.0,0.0,0.0,0.0
Moulins,12.5,14.5,0.0,4.5,0.0,5.5,0.0,10.6,7.9,0.0,11.9,0.0,15.600000000000001,33.4,0.0,4.3,9.899999999999999,0.0,12.3,5.5,37.6,0.0,29.4,4.3,20.9,11.100000000000001,19.8,11.8,11.8,29.4,0.0,1.7,0.0,4.3,0.0,29.4,3.2,16.7,25.7,11.100000000000001,21.8,6.7,10.8,0.0,39.8,6.7,0.0,20.9,0.0,29.4,33.4,7.1,7.9,29.4,7.1,7.1,39.8,13.899999999999999,0.0,25.6,11.8,33.4,24.7,0.0,2.0,0.0,17.4,14.200000000000001,14.200000000000001,5.6,11.100000000000001,3.2,29.4,19.0,21.8,7.5,14.200000000000001,7.5,7.5,9.899999999999999,17.7,0.0,0.0,15.600000000000001,10.4,14.899999999999999,4.3,4.3,11.100000000000001,0.0,11.100000000000001,7.5,7.5,7.5,7.5,7.5
Digne-les-Bains,26.099999999999998,66.6,4.5,0.0,4.5,1.0,4.5,49.5,48.5,52.1,39.9,22.599999999999998,22.099999999999998,37.9,22.599999999999998,22.599999999999998,27.199999999999996,4.5,22.599999999999998,1.0,4.4,38.1,22.599999999999998,8.8,22.599999999999998,31.4,15.8,16.299999999999997,16.299999999999997,35.3,19.2,49.2,49.2,41.699999999999996,22.599999999999998,22.599999999999998,7.7,21.2,4.5,31.4,49.2,11.2,24.8,4.5,35.3,11.2,22.599999999999998,29.699999999999996,19.2,22.599999999999998,22.599999999999998,46.0,46.0,22.599999999999998,31.4,46.0,35.3,31.4,4.5,77.69999999999999,63.9,37.9,76.8,4.5,61.1,59.1,40.0,34.5,34.5,24.6,31.4,30.6,33.9,11.2,16.799999999999997,59.6,18.699999999999996,59.6,59.6,22.599999999999998,69.8,22.599999999999998,22.599999999999998,18.0,16.9,27.599999999999998,22.599999999999998,22.599999999999998,31.4,52.1,31.4,59.6,59.6,59.6,59.6,59.6
Gap,21.6,62.1,0.0,4.5,0.0,5.5,0.0,45.0,54.300000000000004,47.6,45.7,28.4,27.9,33.4,0.0,0.0,4.6,0.0,0.0,5.5,8.9,33.6,29.4,4.3,8.6,26.900000000000002,11.3,11.8,11.8,29.4,25.0,55.0,55.0,47.5,28.4,29.4,3.2,16.7,0.0,26.900000000000002,55.0,6.7,20.3,0.0,39.8,6.7,28.4,35.5,0.0,29.4,33.4,41.5,41.5,29.4,26.900000000000002,41.5,39.8,26.900000000000002,0.0,73.2,59.4,33.4,72.3,0.0,66.9,64.9,45.8,30.000000000000004,30.000000000000004,20.1,26.900000000000002,26.1,29.4,6.7,12.3,55.1,14.200000000000001,55.1,55.1,9.899999999999999,65.3,28.4,28.4,22.5,22.7,14.899999999999999,4.3,0.0,26.900000000000002,47.6,26.900000000000002,55.1,55.1,55.1,55.1,55.1
Nice,27.099999999999998,67.6,5.5,1.0,5.5,0.0,5.5,50.5,46.4,53.1,37.8,20.5,17.1,38.9,20.5,20.5,25.1,5.5,20.5,0.0,3.4,39.1,20.5,20.5,20.5,32.4,16.8,17.299999999999997,17.299999999999997,33.2,17.1,47.099999999999994,47.099999999999994,39.6,20.5,20.5,8.7,22.2,5.5,32.4,47.099999999999994,12.2,25.8,5.5,33.2,12.2,20.5,27.6,17.1,20.5,20.5,47.0,47.0,20.5,32.4,47.0,33.2,32.4,5.5,78.69999999999999,64.9,38.9,77.8,5.5,58.99999999999999,56.99999999999999,37.9,35.5,35.5,25.6,32.4,31.6,34.9,12.2,17.799999999999997,60.6,19.699999999999996,60.6,60.6,20.5,70.8,20.5,20.5,17.1,22.3,25.5,20.5,20.5,32.4,53.1,32.4,60.6,60.6,60.6,60.6,60.6
Privas,22.200000000000003,14.5,0.0,4.5,0.0,5.5,0.0,10.6,42.0,0.0,33.4,0.0,15.600000000000001,33.4,0.0,0.0,4.6,0.0,0.0,5.5,37.6,33.5,29.4,4.3,8.6,26.799999999999997,1.7,11.8,11.8,29.4,12.7,1.7,0.0,19.1,16.099999999999998,29.4,3.2,16.7,13.0,26.799999999999997,9.7,6.7,12.9,0.0,39.8,6.7,0.0,7.1,0.0,29.4,33.4,7.1,41.4,29.4,26.799999999999997,7.1,39.8,26.799999999999997,0.0,25.6,11.8,33.4,24.7,0.0,2.0,0.0,33.5,29.9,29.9,12.9,26.799999999999997,18.9,29.4,19.7,25.299999999999997,7.5,14.200000000000001,7.5,7.5,9.899999999999999,17.7,0.0,0.0,15.600000000000001,10.4,14.899999999999999,4.3,0.0,26.799999999999997,0.0,26.799999999999997,7.5,7.5,7.5,7.5,7.5
Charleville-Mézières,23.400000000000002,0.0,10.6,49.50000000000001,45.00000000000001,50.50000000000001,10.6,0.0,18.5,10.6,22.5,10.6,26.2,14.7,10.6,46.2,30.700000000000003,14.8,22.9,50.50000000000001,53.900000000000006,11.4,14.7,14.899999999999999,31.5,0.0,41.0,3.0,14.6,14.7,10.6,12.299999999999999,10.6,46.2,10.6,14.7,18.0,33.5,45.00000000000001,18.1,63.7,26.6,32.0,10.6,14.7,20.0,10.6,31.5,10.6,17.2,14.7,3.0,3.5,15.4,0.0,3.5,14.7,0.0,10.6,0.0,0.0,3.0,0.0,10.6,12.6,10.6,28.0,15.2,15.2,32.0,0.0,26.0,7.0,38.300000000000004,32.7,0.0,14.7,7.0,6.6,51.800000000000004,9.5,10.6,10.6,26.2,21.0,29.6,46.2,14.899999999999999,0.0,10.6,0.0,7.0,0.0,0.0,0.0,0.0
Foix,17.200000000000003,22.4,7.9,48.5,54.3,46.4,42.0,18.5,0.0,7.9,8.6,7.9,29.299999999999997,43.2,7.9,13.8,47.0,7.9,7.9,46.4,51.3,7.9,26.5,13.8,13.8,19.0,44.699999999999996,19.700000000000003,19.700000000000003,26.5,29.299999999999997,6.2,6.2,28.5,25.9,26.5,13.8,26.5,56.0,19.0,6.2,13.8,7.9,7.9,26.5,14.600000000000001,13.8,16.5,7.9,13.8,26.5,15.0,15.8,13.8,15.0,15.0,26.5,21.8,7.9,33.5,19.7,43.2,32.599999999999994,7.9,10.1,8.1,20.1,22.1,22.1,7.9,19.0,11.100000000000001,39.2,62.7,68.3,15.4,43.2,15.4,15.4,13.8,25.6,7.9,9.4,29.299999999999997,31.599999999999998,48.1,13.8,13.8,19.0,7.9,19.0,15.4,15.4,15.4,15.4,15.4
Troyes,27.7,16.299999999999997,0.0,52.1,47.6,53.1,0.0,10.6,7.9,0.0,11.9,0.0,15.600000000000001,14.6,0.0,4.3,13.0,4.2,12.3,53.1,56.5,10.0,14.6,4.3,20.9,18.0,19.8,12.2,17.2,40.2,0.0,1.7,0.0,4.3,0.0,40.2,7.4,35.699999999999996,47.6,22.4,21.8,28.799999999999997,10.8,0.0,49.699999999999996,22.2,0.0,20.9,0.0,39.3,14.6,7.1,7.1,38.0,7.1,7.1,40.2,13.899999999999999,0.0,10.6,13.5,12.2,26.499999999999996,0.0,2.0,0.0,17.4,11.1,7.1,27.5,7.1,21.5,29.1,40.9,37.0,9.2,14.6,9.2,9.2,13.0,19.4,0.0,0.0,15.600000000000001,10.4,51.699999999999996,7.4,4.3,7.1,0.0,7.1,9.2,9.2,9.2,9.2,9.2
