Ciudad,Bourg-en-Bresse,Laon,Moulins,Digne-les-Bains,Gap,Nice,Privas,Charleville-Mézières,Foix,Troyes,Carcassonne,Rodez,Marseille,Caen,Aurillac,Angoulême,La Rochelle,Bourges,Tulle,Ajaccio,Bastia,Dijon,Saint-Brieuc,Guéret,Périgueux,Besançon,Valence,Évreux,Chartres,Quimper,Nîmes,Toulouse,Auch,Bordeaux,Montpellier,Rennes,Châteauroux,Tours,Grenoble,Lons-le-Saunier,Mont-de-Marsan,Blois,Saint-Étienne,Le Puy-en-Velay,Nantes,Orléans,Cahors,Agen,Mende,Angers,Saint-Lô,Châlons-en-Champagne,Chaumont,Laval,Nancy,Bar-le-Duc,Vannes,Metz,Nevers,Lille,Beauvais,Alençon,Arras,Clermont-Ferrand,Pau,Tarbes,Perpignan,Strasbourg,Colmar,Lyon,Vesoul,Mâcon,Le Mans,Chambéry,Annecy,Paris,Rouen,Melun,Versailles,Niort,Amiens,Albi,Montauban,Toulon,Avignon,La Roche-sur-Yon,Poitiers,Limoges,Épinal,Auxerre,Belfort,Évry-Courcouronnes,Nanterre,Bobigny,Créteil,Cergy
Bourg-en-Bresse,-1,39,71,74,74,74,69,39,69,39,69,69,69,71,69,71,71,71,71,74,74,39,71,71,71,39,69,71,71,71,69,69,69,71,69,71,71,71,74,39,71,71,69,69,71,71,69,69,69,71,71,39,39,71,39,39,71,39,71,39,39,71,39,71,69,69,69,39,39,69,39,71,71,74,74,39,71,39,39,71,39,69,69,69,69,71,71,71,39,39,39,39,39,39,39,39
Laon,51,-1,77,77,77,77,77,7,77,51,77,77,77,80,77,77,95,77,77,77,77,51,80,77,77,51,77,95,93,80,77,77,77,77,77,80,77,77,77,51,77,77,77,77,80,77,77,77,77,95,80,51,51,95,51,51,80,7,77,59,60,95,62,77,77,77,77,51,51,77,51,77,95,77,51,93,80,77,93,77,80,77,77,77,77,95,77,77,51,77,51,77,93,93,93,95
Moulins,71,58,-1,63,63,63,63,58,63,58,63,63,63,17,63,23,23,17,63,63,63,58,17,23,63,71,63,17,17,17,63,63,63,23,63,17,17,17,69,71,23,17,63,63,17,17,63,63,63,17,17,58,58,17,58,58,17,58,58,58,58,17,58,63,63,63,63,71,71,69,71,71,17,69,71,58,17,58,58,23,58,63,63,63,63,23,23,23,71,58,71,58,58,58,58,58
Digne-les-Bains,4,4,4,-1,4,5,4,4,84,4,84,84,84,4,84,84,84,4,84,5,5,4,84,4,84,4,4,4,4,84,84,84,84,84,84,84,4,4,4,4,84,4,4,4,84,4,84,84,84,84,84,4,4,84,4,4,84,4,4,4,4,4,4,4,84,84,84,4,4,4,4,4,4,4,4,4,4,4,4,84,4,84,84,83,84,84,84,84,4,4,4,4,4,4,4,4
Gap,38,38,6,3,-1,3,6,38,84,38,84,84,84,6,6,6,6,6,6,3,3,38,6,6,6,38,26,6,6,6,84,84,84,84,84,6,6,6,38,38,84,6,26,6,6,6,84,84,6,6,6,38,38,6,38,38,6,38,6,38,38,6,38,6,84,84,84,38,38,38,38,38,6,38,38,38,6,38,38,6,38,84,84,3,84,6,6,6,38,38,38,38,38,38,38,38
Nice,3,3,3,3,3,-1,3,3,83,3,83,83,83,3,83,83,83,3,83,19,20,3,83,83,83,3,3,3,3,83,83,83,83,83,83,83,3,3,3,3,83,3,3,3,83,3,83,83,83,83,83,3,3,83,3,3,83,3,3,3,3,3,3,3,83,83,83,3,3,3,3,3,3,3,3,3,3,3,3,83,3,83,83,83,83,83,83,83,3,3,3,3,3,3,3,3
Privas,42,43,43,4,4,4,-1,43,84,43,84,48,84,43,43,43,43,43,43,4,84,42,43,43,43,42,26,43,43,43,84,48,48,48,84,43,43,43,26,42,48,43,42,43,43,43,48,48,48,43,43,43,42,43,42,43,43,42,43,43,43,43,43,43,48,48,84,42,42,42,42,42,43,26,26,43,43,43,43,43,43,48,48,84,84,43,43,43,42,43,42,43,43,43,43,43
Charleville-Mézières,55,1,55,55,55,55,55,-1,55,55,55,55,55,1,55,1,1,55,55,55,55,55,1,55,55,57,55,1,1,1,55,55,55,1,55,1,55,1,55,55,1,1,55,55,1,1,55,55,55,1,1,51,55,1,57,55,1,57,55,59,1,1,59,55,55,55,55,57,57,55,57,55,1,55,55,1,1,1,1,1,1,55,55,55,55,1,1,55,57,55,57,1,1,1,1,1
Foix,31,31,31,10,10,10,10,31,-1,31,10,31,10,31,31,31,31,31,31,10,10,31,31,31,31,31,10,31,31,31,10,31,31,31,10,31,31,31,10,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,65,65,66,31,31,31,31,31,31,10,10,31,31,31,31,31,31,31,31,10,10,31,31,31,31,31,31,31,31,31,31,31
Troyes,89,55,89,89,89,89,89,55,89,-1,89,89,89,77,89,89,89,89,89,89,89,89,77,89,89,89,89,77,77,77,89,89,89,89,89,77,89,77,89,89,89,77,89,89,77,77,89,89,89,77,77,55,55,77,55,55,77,55,89,55,77,77,55,89,89,89,89,55,55,89,55,89,77,89,89,77,77,77,77,89,77,89,89,89,89,77,89,89,55,89,55,77,77,77,77,77
