indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,distancia,tiempo(min),peajes(euros),gasolina(euros),
0,39,Bourg-en-Bresse,Lons-le-Saunier,74,59,5.3,15.34,
0,69,Bourg-en-Bresse,Lyon,84,69,9.3,17.94,
0,71,Bourg-en-Bresse,Mâcon,84,69,9.3,17.94,
0,74,Bourg-en-Bresse,Annecy,84,69,9.3,17.94,
1,7,Laon,Charleville-Mézières,112,102,0,26.52,
1,51,Laon,Châlons-en-Champagne,115,80,9.2,20.8,
1,59,Laon,Lille,159,105,11.1,27.3,
1,60,Laon,Beauvais,135,112,0,29.12,
1,62,Laon,Arras,131,86,10.2,22.36,
1,77,Laon,Melun,177,131,7,34.06,
1,80,Laon,Amiens,127,90,9.5,23.4,
1,93,Laon,Bobigny,128,97,0,25.22,
1,95,Laon,Cergy,157,115,0,29.9,
2,17,Moulins,Bourges,101,90,0,23.4,
2,23,Moulins,Guéret,146,95,4.3,24.7,
2,58,Moulins,Nevers,57,51,0,13.26,
2,63,Moulins,Clermont-Ferrand,19,33,0,8.58,
2,69,Moulins,Lyon,193,150,5.6,39,
2,71,Moulins,Mâcon,144,99,3.2,25.74,
3,4,Digne-les-Bains,Gap,87,74,4.5,19.24,
3,5,Digne-les-Bains,Nice,148,150,1,39,
3,83,Digne-les-Bains,Toulon,193,125,18,32.5,
3,84,Digne-les-Bains,Avignon,194,124,16.9,32.24,
4,5,Gap,Nice,327,197,36.1,51.22,
4,6,Gap,Privas,168,180,0,46.8,
4,26,Gap,Valence,193,164,11.3,42.64,
4,38,Gap,Grenoble,111,116,0,30.16,
4,84,Gap,Avignon,236,143,22.7,37.18,
5,19,Nice,Ajaccio,258,409,0,106.34,
5,20,Nice,Bastia,398,469,3.4,121.94,
5,83,Nice,Toulon,150,98,17.1,25.48,
6,26,Privas,Valence,42,48,1.7,12.48,
6,42,Privas,Saint-Étienne,162,116,12.9,30.16,
6,43,Privas,Le Puy-en-Velay,94,108,0,28.08,
6,48,Privas,Mende,137,147,0,38.22,
6,84,Privas,Avignon,123,86,10.4,22.36,
7,51,Charleville-Mézières,Châlons-en-Champagne,128,81,3,21.06,
7,55,Charleville-Mézières,Bar-le-Duc,190,126,3.5,32.76,
7,57,Charleville-Mézières,Metz,203,137,0,35.62,
7,59,Charleville-Mézières,Lille,220,152,0,39.52,
8,10,Foix,Carcassonne,124,77,8.6,20.02,
8,31,Foix,Toulouse,89,62,6.2,16.12,
8,65,Foix,Tarbes,154,122,8.1,31.72,
8,66,Foix,Perpignan,235,134,20.1,34.84,
9,51,Troyes,Châlons-en-Champagne,235,134,20.1,34.84,
9,52,Troyes,Chaumont,235,134,20.1,34.84,
