experimento,hormigas,iteracion,mejor_costo
ants_10,40,1,6855.457334
ants_10,40,2,6670.609333
ants_10,40,3,6549.810999
ants_10,40,4,6549.810999
ants_10,40,5,6549.810999
ants_10,40,6,6549.810999
ants_10,40,7,6549.810999
ants_10,40,8,6549.810999
ants_10,40,9,6549.810999
ants_10,40,10,6549.810999
ants_10,40,11,6549.810999
ants_10,40,12,6549.810999
ants_10,40,13,6376.811329
ants_10,40,14,6376.811329
ants_10,40,15,6376.811329
ants_10,40,16,5984.55
ants_10,40,17,5981.778329
ants_10,40,18,5560.657665
ants_10,40,19,5560.657665
ants_10,40,20,5466.565329
ants_10,40,21,4801.819663
ants_10,40,22,4801.819663
ants_10,40,23,4801.819663
ants_10,40,24,4801.819663
ants_10,40,25,4801.819663
ants_10,40,26,4801.819663
ants_10,40,27,4689.647331
ants_10,40,28,4566.908664
ants_10,40,29,4565.905331
ants_10,40,30,4534.004332
ants_10,40,31,4534.004332
ants_10,40,32,4534.004332
ants_10,40,33,4505.030666
ants_10,40,34,4505.030666
ants_10,40,35,4471.569332
ants_10,40,36,4471.569332
ants_10,40,37,4471.569332
ants_10,40,38,4471.569332
ants_10,40,39,4471.569332
ants_10,40,40,4471.569332
ants_10,40,41,4471.569332
ants_10,40,42,4471.569332
ants_10,40,43,4471.569332
ants_10,40,44,4471.569332
ants_10,40,45,4471.569332
ants_10,40,46,4471.569332
ants_10,40,47,4471.569332
ants_10,40,48,4471.569332
ants_10,40,49,4471.569332
ants_10,40,50,4471.569332
ants_10,40,51,4471.569332
ants_10,40,52,4471.569332
ants_10,40,53,4471.569332
ants_10,40,54,4471.569332
ants_10,40,55,4471.569332
ants_10,40,56,4471.569332
ants_10,40,57,4471.569332
ants_10,40,58,4471.569332
ants_10,40,59,4471.569332
ants_10,40,60,4471.569332
ants_20,60,1,6670.609333
ants_20,60,2,6549.810999
ants_20,60,3,6499.688664
ants_20,60,4,6431.513667
ants_20,60,5,6431.513667
ants_20,60,6,6431.513667
ants_20,60,7,6431.513667
ants_20,60,8,6431.513667
ants_20,60,9,6380.165662
ants_20,60,10,6380.165662
ants_20,60,11,6380.165662
ants_20,60,12,6206.107998
ants_20,60,13,6206.107998
ants_20,60,14,6206.107998
ants_20,60,15,6206.107998
ants_20,60,16,5754.393
ants_20,60,17,5754.393
ants_20,60,18,5754.393
ants_20,60,19,5713.551998
ants_20,60,20,5627.961
ants_20,60,21,5325.227664
ants_20,60,22,5215.206335
ants_20,60,23,5215.206335
ants_20,60,24,5020.399665
ants_20,60,25,5010.135998
ants_20,60,26,4954.892332
ants_20,60,27,4872.346664
ants_20,60,28,4772.329668
ants_20,60,29,4772.329668
ants_20,60,30,4738.116997
ants_20,60,31,4552.143998
ants_20,60,32,4552.143998
ants_20,60,33,4552.143998
ants_20,60,34,4552.143998
ants_20,60,35,4552.143998
ants_20,60,36,4552.143998
ants_20,60,37,4552.143998
ants_20,60,38,4480.341998
ants_20,60,39,4438.039331
ants_20,60,40,4399.796998
ants_20,60,41,4374.938998
ants_20,60,42,4359.832332
ants_20,60,43,4359.832332
ants_20,60,44,4359.832332
ants_20,60,45,4359.832332
ants_20,60,46,4359.832332
ants_20,60,47,4359.832332
ants_20,60,48,4359.832332
ants_20,60,49,4359.832332
ants_20,60,50,4359.832332
ants_20,60,51,4359.832332
ants_20,60,52,4359.832332
ants_20,60,53,4359.832332
ants_20,60,54,4359.832332
ants_20,60,55,4359.832332
ants_20,60,56,4359.832332
ants_20,60,57,4359.832332
ants_20,60,58,4359.832332
ants_20,60,59,4359.832332
ants_20,60,60,4359.832332
ants_40,100,1,6549.810999
ants_40,100,2,6499.688664
ants_40,100,3,6431.513667
ants_40,100,4,6431.513667
ants_40,100,5,6431.513667
ants_40,100,6,6431.513667
