experimento,beta,hormigas,iteracion,mejor_costo
beta_1,3.0,40,1,6855.457334
beta_1,3.0,40,2,6670.609333
beta_1,3.0,40,3,6549.810999
beta_1,3.0,40,4,6549.810999
beta_1,3.0,40,5,6549.810999
beta_1,3.0,40,6,6549.810999
beta_1,3.0,40,7,6549.810999
beta_1,3.0,40,8,6549.810999
beta_1,3.0,40,9,6549.810999
beta_1,3.0,40,10,6549.810999
beta_1,3.0,40,11,6549.810999
beta_1,3.0,40,12,6549.810999
beta_1,3.0,40,13,6376.811329
beta_1,3.0,40,14,6376.811329
beta_1,3.0,40,15,6376.811329
beta_1,3.0,40,16,5984.55
beta_1,3.0,40,17,5981.778329
beta_1,3.0,40,18,5560.657665
beta_1,3.0,40,19,5560.657665
beta_1,3.0,40,20,5466.565329
beta_1,3.0,40,21,4801.819663
beta_1,3.0,40,22,4801.819663
beta_1,3.0,40,23,4801.819663
beta_1,3.0,40,24,4801.819663
beta_1,3.0,40,25,4801.819663
beta_1,3.0,40,26,4801.819663
beta_1,3.0,40,27,4689.647331
beta_1,3.0,40,28,4566.908664
beta_1,3.0,40,29,4565.905331
beta_1,3.0,40,30,4534.004332
beta_1,3.0,40,31,4534.004332
beta_1,3.0,40,32,4534.004332
beta_1,3.0,40,33,4505.030666
beta_1,3.0,40,34,4505.030666
beta_1,3.0,40,35,4471.569332
beta_1,3.0,40,36,4471.569332
beta_1,3.0,40,37,4471.569332
beta_1,3.0,40,38,4471.569332
beta_1,3.0,40,39,4471.569332
beta_1,3.0,40,40,4471.569332
beta_1,3.0,40,41,4471.569332
beta_1,3.0,40,42,4471.569332
beta_1,3.0,40,43,4471.569332
beta_1,3.0,40,44,4471.569332
beta_1,3.0,40,45,4471.569332
beta_1,3.0,40,46,4471.569332
beta_1,3.0,40,47,4471.569332
beta_1,3.0,40,48,4471.569332
beta_1,3.0,40,49,4471.569332
beta_1,3.0,40,50,4471.569332
beta_1,3.0,40,51,4471.569332
beta_1,3.0,40,52,4471.569332
beta_1,3.0,40,53,4471.569332
beta_1,3.0,40,54,4471.569332
beta_1,3.0,40,55,4471.569332
beta_1,3.0,40,56,4471.569332
beta_1,3.0,40,57,4471.569332
beta_1,3.0,40,58,4471.569332
beta_1,3.0,40,59,4471.569332
beta_1,3.0,40,60,4471.569332
beta_2,4.0,40,1,5741.936332
beta_2,4.0,40,2,5699.491329
beta_2,4.0,40,3,5463.551331
beta_2,4.0,40,4,5463.551331
beta_2,4.0,40,5,5463.551331
beta_2,4.0,40,6,5226.821002
beta_2,4.0,40,7,5226.821002
beta_2,4.0,40,8,5226.821002
beta_2,4.0,40,9,5223.392997
beta_2,4.0,40,10,5223.392997
beta_2,4.0,40,11,5223.392997
beta_2,4.0,40,12,5223.392997
beta_2,4.0,40,13,5223.392997
beta_2,4.0,40,14,5223.392997
beta_2,4.0,40,15,5223.392997
beta_2,4.0,40,16,5128.748665
beta_2,4.0,40,17,5128.748665
beta_2,4.0,40,18,5128.748665
beta_2,4.0,40,19,5128.748665
beta_2,4.0,40,20,5060.063669
beta_2,4.0,40,21,4909.746667
beta_2,4.0,40,22,4561.339667
beta_2,4.0,40,23,4561.339667
beta_2,4.0,40,24,4561.339667
beta_2,4.0,40,25,4561.339667
beta_2,4.0,40,26,4526.396666
beta_2,4.0,40,27,4526.396666
beta_2,4.0,40,28,4387.341335
beta_2,4.0,40,29,4387.341335
beta_2,4.0,40,30,4387.341335
beta_2,4.0,40,31,4365.126336
beta_2,4.0,40,32,4308.481334
beta_2,4.0,40,33,4308.481334
beta_2,4.0,40,34,4308.481334
beta_2,4.0,40,35,4308.481334
beta_2,4.0,40,36,4286.266335
beta_2,4.0,40,37,4213.071667
beta_2,4.0,40,38,4213.071667
beta_2,4.0,40,39,4213.071667
beta_2,4.0,40,40,4213.071667
beta_2,4.0,40,41,4213.071667
beta_2,4.0,40,42,4213.071667
beta_2,4.0,40,43,4213.071667
beta_2,4.0,40,44,4213.071667
beta_2,4.0,40,45,4213.071667
beta_2,4.0,40,46,4213.071667
beta_2,4.0,40,47,4213.071667
beta_2,4.0,40,48,4213.071667
beta_2,4.0,40,49,4213.071667
beta_2,4.0,40,50,4213.071667
beta_2,4.0,40,51,4213.071667
beta_2,4.0,40,52,4213.071667
beta_2,4.0,40,53,4213.071667
beta_2,4.0,40,54,4213.071667
beta_2,4.0,40,55,4213.071667
beta_2,4.0,40,56,4213.071667
beta_2,4.0,40,57,4213.071667
beta_2,4.0,40,58,4213.071667
beta_2,4.0,40,59,4213.071667
beta_2,4.0,40,60,4213.071667
beta_3,5.0,40,1,5342.023332
beta_3,5.0,40,2,4926.211668
beta_3,5.0,40,3,4926.211668
beta_3,5.0,40,4,4926.211668
beta_3,5.0,40,5,4926.211668
beta_3,5.0,40,6,4926.211668
beta_3,5.0,40,7,4926.211668
beta_3,5.0,40,8,4926.211668
beta_3,5.0,40,9,4926.211668
beta_3,5.0,40,10,4926.211668
beta_3,5.0,40,11,4926.211668
beta_3,5.0,40,12,4926.211668
beta_3,5.0,40,13,4926.211668
beta_3,5.0,40,14,4926.211668
beta_3,5.0,40,15,4926.211668
beta_3,5.0,40,16,4926.211668
beta_3,5.0,40,17,4926.211668
beta_3,5.0,40,18,4800.039332
beta_3,5.0,40,19,4800.039332
beta_3,5.0,40,20,4800.039332
beta_3,5.0,40,21,4702.967
beta_3,5.0,40,22,4278.481664
beta_3,5.0,40,23,4278.481664
beta_3,5.0,40,24,4278.481664
beta_3,5.0,40,25,4278.481664
beta_3,5.0,40,26,4278.481664
beta_3,5.0,40,27,4222.558332
beta_3,5.0,40,28,4208.572998
beta_3,5.0,40,29,4165.694332
beta_3,5.0,40,30,4164.681999
beta_3,5.0,40,31,4164.681999
beta_3,5.0,40,32,4158.562999
beta_3,5.0,40,33,4158.562999
beta_3,5.0,40,34,4158.562999
beta_3,5.0,40,35,4158.562999
beta_3,5.0,40,36,4099.946332
beta_3,5.0,40,37,4099.946332
beta_3,5.0,40,38,4099.946332
beta_3,5.0,40,39,4099.946332
beta_3,5.0,40,40,4099.946332
beta_3,5.0,40,41,4099.946332
beta_3,5.0,40,42,4099.946332
beta_3,5.0,40,43,4099.946332
beta_3,5.0,40,44,4099.946332
beta_3,5.0,40,45,4099.946332
beta_3,5.0,40,46,4099.946332
beta_3,5.0,40,47,4099.946332
beta_3,5.0,40,48,4099.946332
beta_3,5.0,40,49,4099.946332
beta_3,5.0,40,50,4099.946332
beta_3,5.0,40,51,4099.946332
beta_3,5.0,40,52,4099.946332
beta_3,5.0,40,53,4099.946332
beta_3,5.0,40,54,4099.946332
beta_3,5.0,40,55,4099.946332
beta_3,5.0,40,56,4099.946332
beta_3,5.0,40,57,4099.946332
beta_3,5.0,40,58,4099.946332
beta_3,5.0,40,59,4099.946332
beta_3,5.0,40,60,4099.946332
beta_4,6.0,40,1,5022.64733
beta_4,6.0,40,2,4622.765667
beta_4,6.0,40,3,4622.765667
beta_4,6.0,40,4,4622.765667
beta_4,6.0,40,5,4622.765667
beta_4,6.0,40,6,4622.765667
beta_4,6.0,40,7,4622.765667
beta_4,6.0,40,8,4622.765667
beta_4,6.0,40,9,4622.765667
beta_4,6.0,40,10,4622.765667
beta_4,6.0,40,11,4622.765667
beta_4,6.0,40,12,4622.765667
beta_4,6.0,40,13,4622.765667
beta_4,6.0,40,14,4622.765667
beta_4,6.0,40,15,4622.765667
beta_4,6.0,40,16,4622.765667
beta_4,6.0,40,17,4622.765667
beta_4,6.0,40,18,4622.765667
beta_4,6.0,40,19,4622.765667
beta_4,6.0,40,20,4622.765667
beta_4,6.0,40,21,4480.101335
beta_4,6.0,40,22,4480.101335
beta_4,6.0,40,23,4410.954667
beta_4,6.0,40,24,4410.954667
beta_4,6.0,40,25,4410.954667
beta_4,6.0,40,26,4409.865334
beta_4,6.0,40,27,4336.107001
beta_4,6.0,40,28,4336.107001
beta_4,6.0,40,29,4331.424333
beta_4,6.0,40,30,4286.900999
beta_4,6.0,40,31,4286.900999
beta_4,6.0,40,32,4256.518999
beta_4,6.0,40,33,4256.518999
beta_4,6.0,40,34,4256.518999
beta_4,6.0,40,35,4256.518999
beta_4,6.0,40,36,4256.518999
beta_4,6.0,40,37,4256.518999
beta_4,6.0,40,38,4256.518999
beta_4,6.0,40,39,4256.518999
beta_4,6.0,40,40,4256.518999
beta_4,6.0,40,41,4256.518999
beta_4,6.0,40,42,4256.518999
beta_4,6.0,40,43,4256.518999
beta_4,6.0,40,44,4256.518999
beta_4,6.0,40,45,4256.518999
beta_4,6.0,40,46,4256.518999
beta_4,6.0,40,47,4256.518999
beta_4,6.0,40,48,4256.518999
beta_4,6.0,40,49,4256.518999
beta_4,6.0,40,50,4256.518999
beta_4,6.0,40,51,4256.518999
beta_4,6.0,40,52,4256.518999
beta_4,6.0,40,53,4256.518999
beta_4,6.0,40,54,4256.518999
beta_4,6.0,40,55,4256.518999
beta_4,6.0,40,56,4256.518999
beta_4,6.0,40,57,4256.518999
beta_4,6.0,40,58,4256.518999
beta_4,6.0,40,59,4256.518999
beta_4,6.0,40,60,4256.518999
beta_5,7.0,40,1,4846.557999
beta_5,7.0,40,2,4846.557999
beta_5,7.0,40,3,4753.533333
beta_5,7.0,40,4,4753.533333
beta_5,7.0,40,5,4753.533333
beta_5,7.0,40,6,4753.533333
beta_5,7.0,40,7,4753.533333
beta_5,7.0,40,8,4753.533333
beta_5,7.0,40,9,4753.533333
beta_5,7.0,40,10,4753.533333
beta_5,7.0,40,11,4753.533333
beta_5,7.0,40,12,4753.533333
beta_5,7.0,40,13,4753.533333
beta_5,7.0,40,14,4753.533333
beta_5,7.0,40,15,4753.533333
beta_5,7.0,40,16,4753.533333
beta_5,7.0,40,17,4753.533333
beta_5,7.0,40,18,4753.533333
beta_5,7.0,40,19,4569.725004
beta_5,7.0,40,20,4569.725004
beta_5,7.0,40,21,4569.725004
beta_5,7.0,40,22,4435.185336
beta_5,7.0,40,23,4435.185336
beta_5,7.0,40,24,4435.185336
beta_5,7.0,40,25,4435.185336
beta_5,7.0,40,26,4434.32667
beta_5,7.0,40,27,4434.32667
beta_5,7.0,40,28,4415.881668
beta_5,7.0,40,29,4274.135669
beta_5,7.0,40,30,4274.135669
beta_5,7.0,40,31,4274.135669
beta_5,7.0,40,32,4142.467334
beta_5,7.0,40,33,4138.700335
beta_5,7.0,40,34,4138.700335
beta_5,7.0,40,35,4138.700335
beta_5,7.0,40,36,4138.700335
beta_5,7.0,40,37,4102.613335
beta_5,7.0,40,38,4102.613335
beta_5,7.0,40,39,4102.613335
beta_5,7.0,40,40,4102.613335
beta_5,7.0,40,41,4102.613335
beta_5,7.0,40,42,4102.613335
beta_5,7.0,40,43,4102.613335
beta_5,7.0,40,44,4102.613335
beta_5,7.0,40,45,4102.613335
beta_5,7.0,40,46,4102.613335
beta_5,7.0,40,47,4102.613335
beta_5,7.0,40,48,4102.613335
beta_5,7.0,40,49,4102.613335
beta_5,7.0,40,50,4102.613335
beta_5,7.0,40,51,4102.613335
beta_5,7.0,40,52,4102.613335
beta_5,7.0,40,53,4102.613335
beta_5,7.0,40,54,4102.613335
beta_5,7.0,40,55,4102.613335
beta_5,7.0,40,56,4102.613335
beta_5,7.0,40,57,4102.613335
beta_5,7.0,40,58,4102.613335
beta_5,7.0,40,59,4102.613335
beta_5,7.0,40,60,4102.613335
