experimento,evaporation_rate,hormigas,iteracion,mejor_costo
evap_015,0.15,40,1,6855.457334
evap_015,0.15,40,2,6670.609333
evap_015,0.15,40,3,6549.810999
evap_015,0.15,40,4,6549.810999
evap_015,0.15,40,5,6549.810999
evap_015,0.15,40,6,6431.513667
evap_015,0.15,40,7,6431.513667
evap_015,0.15,40,8,6431.513667
evap_015,0.15,40,9,6431.513667
evap_015,0.15,40,10,6431.513667
evap_015,0.15,40,11,6431.513667
evap_015,0.15,40,12,6431.513667
evap_015,0.15,40,13,6431.513667
evap_015,0.15,40,14,6431.513667
evap_015,0.15,40,15,6431.513667
evap_015,0.15,40,16,6299.647005
evap_015,0.15,40,17,6299.647005
evap_015,0.15,40,18,6299.647005
evap_015,0.15,40,19,6299.647005
evap_015,0.15,40,20,6299.647005
evap_015,0.15,40,21,6299.647005
evap_015,0.15,40,22,6244.267668
evap_015,0.15,40,23,6244.267668
evap_015,0.15,40,24,6244.267668
evap_015,0.15,40,25,6244.267668
evap_015,0.15,40,26,6244.267668
evap_015,0.15,40,27,6244.267668
evap_015,0.15,40,28,6244.267668
evap_015,0.15,40,29,6244.267668
evap_015,0.15,40,30,6244.267668
evap_015,0.15,40,31,6244.267668
evap_015,0.15,40,32,6183.480667
evap_015,0.15,40,33,6157.748
evap_015,0.15,40,34,6157.748
evap_015,0.15,40,35,6157.748
evap_015,0.15,40,36,6157.748
evap_015,0.15,40,37,6062.316665
evap_015,0.15,40,38,5966.757331
evap_015,0.15,40,39,5693.873995
evap_015,0.15,40,40,5693.873995
evap_015,0.15,40,41,5609.107999
evap_015,0.15,40,42,5609.107999
evap_015,0.15,40,43,5609.107999
evap_015,0.15,40,44,5609.107999
evap_015,0.15,40,45,5609.107999
evap_015,0.15,40,46,5498.316999
evap_015,0.15,40,47,5250.299666
evap_015,0.15,40,48,5250.299666
evap_015,0.15,40,49,5250.299666
evap_015,0.15,40,50,4955.765332
evap_015,0.15,40,51,4955.765332
evap_015,0.15,40,52,4955.765332
evap_015,0.15,40,53,4955.765332
evap_015,0.15,40,54,4955.765332
evap_015,0.15,40,55,4927.030335
evap_015,0.15,40,56,4927.030335
evap_015,0.15,40,57,4703.930001
evap_015,0.15,40,58,4703.930001
evap_015,0.15,40,59,4703.930001
evap_015,0.15,40,60,4703.930001
evap_015,0.15,40,61,4703.930001
evap_015,0.15,40,62,4703.930001
evap_015,0.15,40,63,4671.37
evap_015,0.15,40,64,4671.37
evap_015,0.15,40,65,4671.37
evap_015,0.15,40,66,4539.272003
evap_015,0.15,40,67,4539.272003
evap_015,0.15,40,68,4533.417665
evap_015,0.15,40,69,4458.092
evap_015,0.15,40,70,4458.092
evap_015,0.15,40,71,4458.092
evap_015,0.15,40,72,4454.392
evap_015,0.15,40,73,4394.025667
evap_015,0.15,40,74,4394.025667
evap_015,0.15,40,75,4341.021334
evap_015,0.15,40,76,4341.021334
evap_015,0.15,40,77,4323.827667
evap_015,0.15,40,78,4323.827667
evap_015,0.15,40,79,4298.049001
evap_015,0.15,40,80,4298.049001
evap_015,0.15,40,81,4298.049001
evap_015,0.15,40,82,4298.049001
evap_015,0.15,40,83,4298.049001
evap_015,0.15,40,84,4298.049001
evap_015,0.15,40,85,4298.049001
evap_015,0.15,40,86,4298.049001
evap_015,0.15,40,87,4298.049001
evap_015,0.15,40,88,4298.049001
evap_015,0.15,40,89,4298.049001
evap_015,0.15,40,90,4298.049001
evap_015,0.15,40,91,4298.049001
evap_015,0.15,40,92,4298.049001
evap_015,0.15,40,93,4298.049001
evap_015,0.15,40,94,4298.049001
evap_015,0.15,40,95,4298.049001
evap_015,0.15,40,96,4274.693667
evap_015,0.15,40,97,4274.693667
evap_015,0.15,40,98,4274.693667
evap_015,0.15,40,99,4274.693667
evap_015,0.15,40,100,4274.693667
evap_025,0.25,40,1,6855.457334
evap_025,0.25,40,2,6670.609333
evap_025,0.25,40,3,6549.810999
evap_025,0.25,40,4,6549.810999
evap_025,0.25,40,5,6549.810999
evap_025,0.25,40,6,6549.810999
evap_025,0.25,40,7,6549.810999
evap_025,0.25,40,8,6549.810999
evap_025,0.25,40,9,6549.810999
evap_025,0.25,40,10,6477.078342
evap_025,0.25,40,11,6477.078342
evap_025,0.25,40,12,6477.078342
evap_025,0.25,40,13,6477.078342
evap_025,0.25,40,14,6477.078342
evap_025,0.25,40,15,6477.078342
evap_025,0.25,40,16,6477.078342
evap_025,0.25,40,17,6477.078342
evap_025,0.25,40,18,6477.078342
evap_025,0.25,40,19,6477.078342
