caso,nombre_metodo,corrida,mejor_valor,distancia_al_optimo,evaluaciones
Six-Hump Camel 2D,Evolucion diferencial,1,-1.0316284534898774,1.436593814272692,4840
Six-Hump Camel 2D,Evolucion diferencial,7,-1.0316284534898774,1.4365938144743298,4840
Six-Hump Camel 2D,Evolucion diferencial,19,-1.0316284534898774,1.4365938160222385,4840
Six-Hump Camel 2D,Evolucion diferencial,28,-1.0316284534898774,1.4365938160222385,4840
Six-Hump Camel 2D,Evolucion diferencial,29,-1.0316284534898774,1.436593816357761,4840
Six-Hump Camel 2D,Evolucion diferencial,37,-1.0316284534898774,1.4365938160222385,4840
Six-Hump Camel 2D,Evolucion diferencial,38,-1.0316284534898774,1.436593816357761,4840
Six-Hump Camel 2D,Evolucion diferencial,46,-1.0316284534898774,1.4365938160222385,4840
Six-Hump Camel 2D,Evolucion diferencial,47,-1.0316284534898774,1.436593816357761,4840
Six-Hump Camel 2D,Evolucion diferencial,55,-1.0316284534898774,1.4365938160222385,4840
Six-Hump Camel 2D,Evolucion diferencial,56,-1.0316284534898774,1.436593816357761,4840
Six-Hump Camel 2D,Evolucion diferencial,59,-1.0316284534898774,1.4365938140736985,4840
Six-Hump Camel 2D,Evolucion diferencial,64,-1.0316284534898774,1.4365938160222385,4840
Six-Hump Camel 2D,Evolucion diferencial,65,-1.0316284534898774,1.436593816357761,4840
Six-Hump Camel 2D,Evolucion diferencial,68,-1.0316284534898774,1.4365938140736985,4840
